,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201923,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Broadcasting,135,1.0569743272387224,0.12314655131365004,0.5535880447646953,0.3471662204267433,0.0695,0.16495354784780936,0.05235435,0.44641195523530475,0.09154406630981221,0.7444295667373665,0.23166542437437565,3.2133822677585,4.562503576410402,0.8063973914484621,0.6575435052053346,0.11671495251435286,0.3710090994473476,0.3471662204267433,0.141123143694193,0.61,0.69,0.74,0.81,0.7188859133474733,20179.593000000015,4795.892999999999,3663.7369999999996,0.763932181139154,0.23766054151835447,0.24817881371153214,0.181556535852829,0.19445538393470913
Brokerage & Investment Banking,592,0.9914624277631093,0.11791870173549612,0.2942221168151078,0.349876137221484,0.0695,0.14882513818935492,0.05235435,0.7057778831848922,0.07164483235522795,0.4509503326169772,0.20370470647222022,2.2137452807379026,4.867155231380567,2.3987927584261453,0.3532093655395008,0.21674441730702626,0.36889500437836986,0.349876137221484,0.6011560183139996,0.42,0.44,0.42,0.45,0.4361900665233954,98927.16799999992,20017.870999999977,28582.45600000003,1.4278469473601896,0.2023495810574502,0.20873281289015827,0.2889242316124935,0.29899789913966573
Building Materials,454,1.1065292223300869,0.12710103194194095,0.7982290632311924,0.29868072216447483,0.0695,0.17672316160144674,0.05235435,0.20177093676880764,0.11201932390615539,0.9975517318295956,0.24558994140597112,4.061859073375477,4.505596670593869,0.25277322771492267,0.9295330490038726,0.06818561950764288,0.32808663804141985,0.29868072216447483,0.278655595945401,0.81,0.83,1.04,1.05,0.9455103463659192,48661.26800000001,10531.035,11779.458999999983,1.1185471323568845,0.2164151373942824,0.22386475827646887,0.24207053133099574,0.2536845988350515
Business & Consumer Services,961,1.094243034645496,0.12612059416471058,0.8112944661921118,0.35508042862954164,0.0695,0.16395074692763018,0.05235435,0.18870553380788824,0.11220049568260584,0.9967488441793113,0.22517320222193063,4.426587330746916,4.859561545725191,0.23259807834459384,0.9310993990484501,0.06586357788547506,0.38221100036956196,0.35508042862954164,0.17728507138172875,0.92,0.88,0.64,1.04,0.8953497688358624,48424.20499999998,11692.833999999988,13167.578000000016,1.126123743824639,0.24146672103341693,0.30701685547511953,0.27192140789921115,0.354003664302687
Cable TV,54,1.023983376282326,0.12051387342732961,0.5054901819523565,0.26282180998895055,0.0695,0.13227912597836108,0.05235435,0.4945098180476435,0.08680831989906676,0.6054329946472208,0.24953774045083194,2.426218148619139,4.103521072332898,0.9782777899616105,0.5895340920300889,0.02626038349032505,0.33376491168446265,0.26282180998895055,0.23694928995702935,0.72,0.79,1.13,0.72,0.7930865989294441,31190.930999999997,8855.317999999997,7963.904000000001,0.8993357437869542,0.2839068189404157,0.29504040766774237,0.2553275501779669,0.2716460585196245
Chemical (Basic),879,1.1399114789559386,0.1297649360206839,0.7294815581304673,0.3264943738808307,0.0695,0.15722778869143017,0.05235435,0.27051844186953267,0.10882394490616107,0.9877865839791308,0.2028815939025555,4.868783633736469,5.618604709421993,0.37083657407710724,0.8910074784392419,0.09797572381478462,0.3404058068165154,0.3264943738808307,0.4060127467759213,0.95,0.9,1.04,1.02,0.9795573167958261,102204.15200000006,19247.61200000002,25160.652999999973,1.3072090709226656,0.18832514749498638,0.1853022132364499,0.2461803410882951,0.253641224685957
Chemical (Diversified),68,1.1958248741877604,0.1342268249601833,0.6571206031117857,0.2492126497097023,0.0618,0.21226360049674067,0.04655394,0.34287939688821434,0.10416559904158584,0.9419506953199124,0.2564821611783529,3.672577815908599,4.662409536373979,0.521790665616804,0.8584128901454968,0.08868596370221245,0.2464576111331997,0.2492126497097023,0.20076155432781934,0.96,0.95,1.08,1.15,1.0163901390639825,28775.989999999994,6362.215999999998,6057.0019999999995,0.9520270924470344,0.22109460004677506,0.22700876646764298,0.21048804923827125,0.21215134704677507
Chemical (Specialty),922,1.1068628177675968,0.1271276528578542,0.8254092060846219,0.3414918749663052,0.0695,0.15929122981267427,0.05235435,0.17459079391537813,0.11407292254822643,1.0212013193407876,0.21904965742217225,4.661962640610921,5.0530223639398395,0.21152028912248275,0.95473675024367,0.06508468784590125,0.3576947397473422,0.3414918749663052,0.2341145808219371,1.04,0.98,1.15,1.04,1.0462402638681576,149636.57800000018,32502.679000000004,29469.601999999995,0.9066822461003904,0.2172107878596366,0.23068685635436043,0.19694116501381073,0.21031820189168585
Coal & Related Energy,212,1.211961212621946,0.13551450476723126,0.8044495474504884,0.5872695030181825,0.0733,0.09540978288399324,0.05521689,0.19555045254951164,0.11981226986085283,1.3528350871710502,0.1897412359313511,7.129894988459491,6.387442385272735,0.24308603711601592,1.0243800975641317,0.24279011737769118,0.4816592094866767,0.5872695030181825,0.5253174716449277,1.23,1.27,1.84,1.09,1.3565670174342102,94893.41499999998,21905.987999999998,31009.998,1.4155945853709042,0.23084834706391377,0.2343017050020474,0.32678767014549964,0.33193568526783274
Computer Services,1105,1.088247192028082,0.12564212592384094,0.8595017006129042,0.33786373564723465,0.0695,0.16622237475120769,0.05235435,0.1404982993870958,0.11534531804067875,1.0374271307252976,0.21705384905448336,4.779584122762503,5.013719852325299,0.16346483001360837,0.968934482968661,0.06602164694570047,0.35715290547034784,0.33786373564723465,0.09737003720097796,1.01,0.98,0.77,1.09,0.9774854261450596,70628.81200000009,16269.707999999997,18802.15100000007,1.155653869141356,0.23035511343444337,0.25445675532397627,0.26621077811701044,0.300354262467518
