,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201923,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Hotel/Gaming,650,0.9705863973229032,0.11625279450636768,0.6394399152179693,0.3499130792336531,0.0695,0.08360157027839987,0.05235435,0.3605600847820307,0.09321356593771186,0.7452374087131339,0.19339082233829463,3.8535303780316177,5.018782099313255,0.563868592186843,0.6812269375014792,0.08589272420205946,0.35867671029700754,0.3499130792336531,0.9438908209572758,0.72,0.68,0.81,0.95,0.7810474817426268,28485.17900000002,6619.682000000005,6797.532000000003,1.026866849495187,0.23239039501910805,,0.23863399278621344,
Household Products,589,1.0240740179746777,0.12052110663437927,0.8771140135072771,0.3789198008021104,0.0695,0.11695986517649924,0.05235435,0.12288598649272287,0.11214436749935422,0.959250721543237,0.19091290014619614,5.024546381143797,5.36409020653119,0.14010263728582345,0.926311712786203,0.03433826841854432,0.4349820087100671,0.3789198008021104,0.1162959680212393,0.94,0.96,0.74,1.0,0.9198501443086474,68309.06399999994,14791.031000000006,17488.767000000007,1.1823899902582855,0.21653101556185894,0.22687673030480665,0.2560241053808031,0.27097137443442404
Information Services,242,1.4107202256089806,0.15137547400359663,0.876918753289192,0.40765639840290036,0.0695,0.15757329020462577,0.05235435,0.123081246710808,0.13918783061052845,1.341638572668401,0.2759207862807698,4.8624048617460245,5.112772562823405,0.14035649967474015,1.2758263973728798,0.04905358017891997,0.42563736147975345,0.40765639840290036,0.25745867685391655,1.12,1.05,1.32,1.23,1.2123277145336804,56855.93100000003,11270.604999999987,12729.625,1.1294535652700113,0.19823094621386078,0.21906861729917568,0.2238926489480929,0.2492450325695316
Insurance (General),206,0.6906668147572236,0.09391521181762644,0.7081172141589045,0.2527216619310413,0.0695,0.15161157710226905,0.05235435,0.2918827858410955,0.08178431168834083,0.6092906981965142,0.20925143361109275,2.9117635548864156,3.300655115419053,0.4121955800605573,0.5270226342984654,0.13502268152387734,0.2681367395906554,0.2527216619310413,0.12477704640831966,0.58,0.54,1.33,0.72,0.7558581396393029,88714.46699999999,18272.88499999999,13041.6,0.7137132423259932,0.20597412821067834,0.20747927907547703,0.14700646288051308,0.15472401914574496
Insurance (Life),142,0.903786502197535,0.11092216287536329,0.5038234893631959,0.23901505811759377,0.0618,0.13375119623847986,0.04655394,0.4961765106368041,0.07898416265317341,0.7962762006298993,0.2824028306868788,2.8196466681766035,3.2003450531968314,0.9848221075677575,0.5188609491612982,0.34839073583908453,0.28478714944052114,0.23901505811759377,0.2221763387102557,0.94,0.98,1.17,1.0,0.9772552401259798,111306.00399999997,17530.012,20752.024000000005,1.1837997600914367,0.1574938581031083,0.13855116519420355,0.18644119143833437,0.20393245028417709
Insurance (Prop/Cas.),235,0.7457504789241671,0.09831088821814854,0.7981861806785644,0.26692529380793906,0.0695,0.15806135129289095,0.05235435,0.2018138193214356,0.08903622371755246,0.690694218235931,0.22441038317465212,3.077817561134788,3.323154964464238,0.25284053295669323,0.6264364099968289,0.09303365591103377,0.3006223316059028,0.26692529380793906,0.16659362316321272,0.52,0.5,1.19,0.82,0.7441388436471862,53373.02999999995,10403.270999999995,16052.024000000003,1.5429785497272934,0.194916252646702,0.20298701139791767,0.30075159682708696,0.33010608436303707
Investments & Asset Management,1660,0.7921833492421216,0.1020162312695213,0.5674198405394799,0.26550357638295474,0.0695,0.05758468520774841,0.05235435,0.4325801594605201,0.08053348675084236,0.565197064061528,0.19739651467812186,2.863257565530719,4.013157732464879,0.7623634715508719,0.5032009050390648,0.10968945694260411,0.2576393382919001,0.26550357638295474,0.3412429355301553,0.57,0.55,0.55,0.72,0.5910394128123055,98915.19799999997,16191.409999999985,15713.331999999993,0.970473355933795,0.16368981033632454,0.17462551383493172,0.1588565995692593,0.17867557473264423
Machinery,1463,1.1021402522422057,0.126750792128928,0.8528172981848763,0.31622845943757366,0.0695,0.15892227265306122,0.05235435,0.14718270181512372,0.11580092277095988,1.0629501446657796,0.22712802590327372,4.6799603018539635,4.852506633028064,0.17258409524336002,0.9753387970748251,0.08242281919863878,0.3291847731521568,0.31622845943757366,0.1544889443895435,1.12,1.16,1.01,1.13,1.0965900289331558,79055.67000000003,17542.78299999997,19711.419000000016,1.123619838425867,0.22190417208531613,0.23573062367872227,0.24933592998452875,0.27093621599344087
Metals & Mining,1783,1.1980661936405959,0.13440568225251953,0.7899069113622431,0.6169041114227474,0.0733,0.043555041675517624,0.05521689,0.2100930886377569,0.11776866430269403,1.109674282355319,0.18512838605510823,5.994079600656141,6.471542366733325,0.2659719589937989,0.9980918312749252,0.10055423727001807,0.507181647249953,0.6169041114227474,0.5243484807284703,1.24,1.09,0.82,1.01,1.0539348564710638,207595.61100000003,56044.51700000003,55890.25800000002,0.9972475630399312,0.26996966231622316,0.2760476961797236,0.26922658783956666,0.27740287917645606
Office Equipment & Services,144,0.9252414781010465,0.1126342699524635,0.7486844608815131,0.33105972711523934,0.0695,0.17428981019463172,0.05235435,0.2513155391184869,0.0974849893715909,0.8344943817237243,0.19612076661509853,4.2550026502878255,4.717712938155607,0.335676179017505,0.7385006184351341,0.11503224634095943,0.346895245167503,0.33105972711523934,0.08286057997897317,0.86,0.94,0.71,1.05,0.878898876344745,2538.1159999999995,611.8929999999999,601.8320000000003,0.9835575827799965,0.24108157389181584,0.29750790884502676,0.2371176100698315,0.3027860063753745
Oil/Gas (Integrated),36,1.084261071514385,0.12532403350684793,0.8373152931671868,0.290654684170079,0.0695,0.2576467731803135,0.05235435,0.16268470683281322,0.11345298193785319,1.0257376245751695,0.2511935107363134,4.083455904447795,4.31643742840384,0.19429324671409043,0.9458285604017942,0.07790400026173488,0.3042421744289674,0.290654684170079,0.5528220864013578,1.11,1.14,0.99,1.15,1.083147524915034,764139.1599999999,320870.7329999999,152458.02,0.4751384414981844,0.4199113849890901,0.41991922523650577,0.19951604103106038,0.19951979048448631
Oil/Gas (Production and Exploration),616,1.3064445801888949,0.1430542774990738,0.7923184832507888,0.5761526246802835,0.0733,0.07729075896123855,0.05521689,0.2076815167492112,0.12481207563597795,1.1719532510287904,0.18500547115230068,6.334695097011548,7.061653755706502,0.2621187327312101,1.0910185569193993,0.0690596609022956,0.4962974961635102,0.5761526246802835,1.2659828831353592,1.16,1.14,0.64,1.21,1.0643906502057578,240236.311,68659.96699999998,34413.72599999994,0.5012196699715855,0.2858017870579106,0.2910587202453356,0.14324947738645527,0.14684420525895706
Oil/Gas Distribution,166,0.9598833157432468,0.1153986885963111,0.5773381191541759,0.3169291940181764,0.0695,0.11717454156476204,0.05235435,0.4226618808458241,0.08875224986851327,0.640895646239336,0.20959183133122464,3.0578274075314904,4.579774458033685,0.7320872584423165,0.6186882794388107,0.03465051905225817,0.36809312559013424,0.3169291940181764,0.29733541252975404,0.75,0.83,1.03,0.75,0.8001791292478672,32727.83499999998,5078.027999999997,2581.281000000001,0.5083235066840912,0.15515930094367683,0.19343838748007733,0.07887111995034203,0.09980087234484071
Oilfield Svcs/Equip.,455,1.1458047060134187,0.1302352155398708,0.6821947992932357,0.38678554871410087,0.0695,0.12164722805997288,0.05235435,0.3178052007067643,0.10548427143575564,0.9186144133116347,0.18316248393940676,5.015297857696273,6.255673549352334,0.4658569678866145,0.8481599048729229,0.07669649791877424,0.3974411197574169,0.38678554871410087,0.38536101039880777,1.07,1.06,1.22,1.06,1.065722882662327,129081.6779999999,28948.517999999975,16394.61600000001,0.5663369710325076,0.22426511994986614,0.23995267206636486,0.12700962874064917,0.13719654605735274
Packaging & Container,414,0.8357668353157656,0.10549419345819809,0.6713929393615732,0.2944983294261341,0.0695,0.16483359072914733,0.05235435,0.3286070606384268,0.08803206569661348,0.6454232908587869,0.19352291856637172,3.335125863335039,4.318696935263128,0.48944074531212534,0.6106301255324202,0.05390751436947923,0.32699064372206454,0.2944983294261341,0.14513397174026643,0.61,0.61,0.72,0.8,0.6770846581717572,24477.596999999987,5204.312000000002,5804.500999999992,1.1153253302261643,0.21261531513898216,0.20097603392851324,0.2371352465685253,0.24853869804024176
Paper/Forest Products,268,0.9932645149292465,0.11806250829135387,0.6196104159781373,0.3119027435891214,0.0695,0.15821279261855972,0.05235435,0.38038958402186274,0.09306780929206306,0.752359681166661,0.19278007551741697,3.90268381806235,5.152319358021565,0.6139173490512861,0.6791719702716396,0.09727755583809529,0.3369474597484038,0.3119027435891214,0.4069277169771662,0.77,0.74,0.64,0.89,0.7584719362333322,31713.863999999994,6452.272000000002,6157.3979999999965,0.9542991987938504,0.20345272338936696,0.20763796042251476,0.19415477092289976,0.20008237388874445
Power,485,0.7285185003020899,0.09693577632410677,0.5098146520829336,0.25944771221610685,0.0695,0.14669930155116612,0.05235435,0.49018534791706636,0.07508261435078543,0.4433046474349577,0.19079134288256952,2.323505043453717,3.818404385100884,0.9614971753250549,0.4225020387651707,0.0469262138129043,0.2856247136744554,0.25944771221610685,0.08489297406971341,0.49,0.51,0.65,0.54,0.5266609294869915,152526.1160000001,29452.034000000007,29939.65800000002,1.0165565475036467,0.19309502380562807,0.23023166207791743,0.19629201073998373,0.5168434007027018
Precious Metals,930,1.1408458156282186,0.12983949608713186,0.8456687397201023,0.6291256354607682,0.0733,0.041166339974379774,0.05521689,0.15433126027989774,0.11832289524433443,1.1011319908908235,0.19215238087654893,5.730514427496278,5.937193233953065,0.18249611583251613,1.0029640155388828,0.08915186931634057,0.541696289425715,0.6291256354607682,0.8545404529194207,1.15,1.0,0.32,0.99,0.9122263981781646,38459.268999999986,10740.557999999995,12945.110000000006,1.2052548852676008,0.2792709866638391,0.33388790780494576,0.336592720990095,0.3959750434758244
Publishing & Newspapers,327,0.8891333269114582,0.10975283948753436,0.7700788915257948,0.31440209547156556,0.0695,0.1389908224431033,0.05235435,0.22992110847420522,0.09655571515981545,0.8690395285125317,0.18371593476296225,4.730343775752505,4.8397180574382626,0.2985682519081277,0.725875586052627,0.16473812497913354,0.32842913638060095,0.31440209547156556,0.08474524685795144,0.9,0.85,0.73,0.94,0.8578079057025064,9861.727000000004,1618.5649999999991,2000.2649999999992,1.2358261793625838,0.16412591831025117,0.3492944154872395,0.20283110655973322,0.3984855173688779
R.E.I.T.,792,0.7926064302783233,0.1020499931362102,0.560674257160011,0.188502700447128,0.0618,0.030282009159863846,0.04655394,0.43932574283998904,0.07766914836745716,0.5091699845154034,0.3121525565659615,1.6311575023343106,2.5391636672718914,0.7835668166134652,0.4984128319911584,0.021126839466947385,0.240091655371124,0.188502700447128,0.19282384956877388,0.34,0.35,1.16,0.77,0.6258339969030806,124602.37200000008,5591.680999999999,3216.666999999997,0.5752593897970929,0.044876200270087915,0.047214750335877895,0.02581545558378291,0.027837300073180606
Real Estate (Development),869,1.0176524508975406,0.12000866558162374,0.33049609160993376,0.32556181158049086,0.0695,0.1588441324948116,0.05235435,0.6695039083900662,0.0747138368802717,0.5012546023244221,0.17918104446292377,2.797475613711706,5.6794648895358675,2.025754389798487,0.40287099600903203,0.19627471919293069,0.3619611548510302,0.32556181158049086,0.38835576932603416,0.66,0.64,0.57,0.52,0.5782509204648844,124646.81799999987,40556.94299999989,69349.33799999999,1.7099251785323213,0.32537487639676393,0.4147172688938972,0.5563666936126686,0.7013931854758803
Real Estate (General/Diversified),342,0.9342277663512191,0.11335137575482727,0.4450024676144646,0.26803347575607533,0.0695,0.15588318121228914,0.05235435,0.5549975323855354,0.07949817697804118,0.5297027575571283,0.191341778704713,2.76835911708853,4.8825080057030315,1.2471785501791124,0.4816849487672686,0.09065047916931213,0.2984152357169883,0.26803347575607533,0.1703466660405379,0.68,0.64,1.17,0.61,0.7259405515114257,38698.89699999998,10330.15100000001,11081.414999999995,1.0727253648083155,0.2669365744455201,0.3165897783390631,0.2863496342027526,0.35282023541375734
Real Estate (Operations & Services),730,0.9011880677232457,0.110714807804315,0.5028950647385804,0.29972973723472146,0.0695,0.14471759256555733,0.05235435,0.49710493526141963,0.08170353620567418,0.5521553535566948,0.20720304736866602,2.6648032476774937,4.349299294424984,0.9884864062442722,0.5165506242645994,0.06448317319165406,0.3355877444396856,0.29972973723472146,0.15572289094422737,0.54,0.49,0.52,0.63,0.5464310707113389,74289.48400000014,16803.14700000003,7642.907000000002,0.4548497373735996,0.22618473161019664,0.2840959935530055,0.10288006577081606,0.13336269570206066
Recreation,323,1.1091960963190381,0.12731384848625923,0.7529772908404235,0.33179399049670577,0.0695,0.13938045627865497,0.05235435,0.24702270915957647,0.10879715009294032,0.9858976233637634,0.230685247153563,4.273778386475963,4.808266284929206,0.32806130033996916,0.8893999514480999,0.09787798411200656,0.38184151451634857,0.33179399049670577,0.14447414298074696,0.83,0.84,0.74,1.02,0.8831795246727527,16745.242000000013,3895.039,5379.467,1.3811073521985273,0.23260571570121216,0.31147085492430027,0.3212534641183445,0.45362150203563806
Reinsurance,34,1.1599096579998216,0.13136079070838574,0.7398498474742875,0.28323303408098666,0.0695,0.09866445651795233,0.05235435,0.2601501525257125,0.11080725310758553,1.0895323174584777,0.2773287105401252,3.9286675921021854,4.182436271169986,0.3516256081065877,0.9170119313902884,0.15834352345841643,0.28047407740457253,0.28323303408098666,0.2845550981612338,0.9,0.92,6.75,1.44,2.2199064634916956,8486.87,1525.7830000000001,1556.0180000000003,1.0198160551008892,0.1797815920356975,0.3193644655646928,0.18334415396960246,0.3883960775445265
Restaurant/Dining,382,0.9953207368095935,0.11822659479740556,0.7538548809756007,0.31360962157417,0.0695,0.13058992474186906,0.05235435,0.24614511902439928,0.1020124632613438,0.8289252878100836,0.2067809604237676,4.008711856794365,4.813406102620996,0.3265152554372942,0.7988359079437715,0.036299266422194096,0.3289600266836643,0.31360962157417,0.22525996743380092,0.64,0.67,0.78,1.01,0.7857850575620168,29874.67999999997,6220.282000000003,6964.521000000003,1.1196471478302752,0.20821250637663763,0.23006232839703344,0.23312453890719534,0.2587426863476712
Retail (Automotive),193,0.9831339521946365,0.11725408938513199,0.6311387057497726,0.3042116382969305,0.0695,0.19296375205587804,0.05235435,0.3688612942502274,0.09331508751902975,0.7185689332312892,0.20960766942972192,3.4281614560492684,4.690352957358106,0.5844377644562807,0.6826100994906522,0.05004228832846415,0.3358210730125741,0.3042116382969305,0.28166385226273283,0.64,0.66,0.39,0.89,0.6597137866462579,27895.201,6602.243000000002,6673.819000000002,1.0108411641316444,0.23668024474890867,0.2767580410969336,0.23924613412894935,0.2783134945838326
Retail (Building Supply),98,1.0792224241204762,0.124921949444814,0.8061129832982881,0.27792365922032364,0.0695,0.1989826835888124,0.05235435,0.19388701670171193,0.1108520340792542,0.9343776592100076,0.27695777687418205,3.3737188020341526,3.896703809154099,0.24052089560498666,0.9136781967785285,0.022153207782150956,0.3164520287028011,0.27792365922032364,0.3130376188660294,0.76,0.9,0.71,1.11,0.8828755318420015,40740.47000000001,10127.612999999996,9516.027000000002,0.9396120290141424,0.24858851652914152,0.25715742847729395,0.23357676040556233,0.24178668879633636
Retail (Distributors),1006,0.828851939037752,0.10494238473521261,0.5909383689679528,0.3263950009608495,0.0695,0.17230496474040322,0.05235435,0.4090616310320472,0.08343063747365659,0.5976015996949612,0.18917459652125107,3.1589949744009584,4.38141248497201,0.6922238468733294,0.5447768428380458,0.08839460417087097,0.35861499914215517,0.3263950009608495,0.2885198719979901,0.62,0.6,0.5,0.65,0.5935203199389922,104210.77200000014,23856.302000000025,22597.027000000024,0.9472141575001859,0.2289235703963501,0.23672194252954717,0.21683964686491328,0.22719495760311081
Retail (General),189,0.8905370562593125,0.10986485708949313,0.7326846214148123,0.27275967897216363,0.0695,0.1837494643947667,0.05235435,0.2673153785851877,0.09449141411423916,0.7347606574412107,0.20726598219810824,3.545013270623996,4.296590529786612,0.36484371416040146,0.6985498671686516,0.0492824294630341,0.2929466934297418,0.27275967897216363,0.07539707494359642,0.77,0.86,1.34,0.87,0.9149521314882423,61319.86799999998,15587.870999999997,20140.254999999986,1.2920465533747354,0.2542058798952405,0.26927473759958304,0.3284458309662375,0.35193421310996353
Retail (Grocery and Food),181,0.7054027356915712,0.09509113830818738,0.6332986920335295,0.2395250060619005,0.0618,0.21192562707948623,0.04655394,0.3667013079664705,0.07729248420354712,0.5285453639501723,0.2002631288336964,2.6392544999588505,3.522379480435241,0.5790337364964205,0.49116387420911095,0.07072522491103606,0.282868950937087,0.2395250060619005,0.1849996014098765,0.51,0.49,0.56,0.53,0.5237090727900344,39030.48599999998,9148.325999999994,9162.174000000006,1.0015137195591863,0.23438924127155367,0.23459544081635264,0.23474404085052927,0.2523660590237803
Retail (Online),342,1.59201027229133,0.16584241972884814,0.8296161281182791,0.463507362871258,0.0695,0.09967077271446714,0.05235435,0.17038387188172088,0.14650588299606426,1.490503406647991,0.2511264926681972,5.935269476396224,6.3394755980396935,0.20537675933106866,1.3787096682502977,0.07500401401235805,0.5274266660321,0.463507362871258,0.5120270429714509,1.24,1.23,1.62,1.4,1.3961006813295982,26757.93200000001,1092.8099999999993,7914.484000000008,7.242323917240887,0.040840600088228,,0.2957808548134439,
Retail (Special Lines),495,1.0901256163386903,0.12579202418382748,0.7626125165667768,0.3179110026698966,0.0695,0.17570428714304442,0.05235435,0.23738748343322325,0.1083588395201397,0.9561788887224327,0.22876328038408947,4.179774337546767,4.76529980907945,0.3112819135226413,0.8830584247895714,0.07647153142081897,0.3587125295559064,0.3179110026698966,0.1637315021504468,0.8,0.75,0.64,1.09,0.8472357777444867,56634.871999999945,13048.390000000003,14233.950000000015,1.0908587189683947,0.2303949764378388,0.26773635110844557,0.25132836885373433,0.32542086583333474
Rubber& Tires,89,1.1594988998620432,0.13132801220899104,0.6614015692317291,0.2773476779488968,0.0695,0.1596358593368727,0.05235435,0.3385984307682709,0.10458765411300318,0.9300642456688291,0.23365864718030807,3.9804400859649056,4.962362462739456,0.5119407732303691,0.8367936324626692,0.10028405418282355,0.3021654865404598,0.2773476779488968,0.11133864963160152,0.7,0.72,1.21,1.1,0.9320128491337659,10980.266000000001,2382.4819999999995,2636.544,1.1066375317840809,0.21697853221406468,0.20992258451043083,0.24011658733950522,0.2501738567795889
Semiconductor,624,1.6915425349552258,0.173785094289427,0.8959562914654382,0.3734495183367034,0.0695,0.10353163544478648,0.05235435,0.1040437085345618,0.16115098932344296,1.6715997850986177,0.26985856454012036,6.194355135429093,6.268255883736241,0.11612587525267161,1.555473419408919,0.06947019658945917,0.3934866796365214,0.3734495183367034,0.4687609029551324,1.59,1.53,1.16,1.55,1.5003199570197236,179525.40999999997,23039.62699999998,25652.965999999993,1.113428008187807,0.12833630069414675,0.1282459939332347,0.14289323166007528,0.14538767269364258
Semiconductor Equip,342,1.9625184452168636,0.1954089719283057,0.9337953754645522,0.33267871506038227,0.0695,0.14388614403019523,0.05235435,0.06620462453544784,0.18593809439548178,1.9829052012920763,0.3314469712625573,5.982571491719285,5.921063142442311,0.07089842836554186,1.8630187389305666,0.06046000700557487,0.3662822766481051,0.33267871506038227,0.6996064677208448,1.73,1.82,2.58,1.93,2.008581040258415,55452.62600000002,9128.23499999999,9541.257999999993,1.0452467536166634,0.16461321416951447,0.16617393585377666,0.17206142771308955,0.17385717282389745
Shipbuilding & Marine,349,1.095060022552661,0.12618578979970235,0.6665790640863628,0.33913461678437984,0.0695,0.12278349800007093,0.05235435,0.3334209359136372,0.10156884204183424,1.0486074968125012,0.18767940592311005,5.5872272807710335,5.8347372593522255,0.5001971317095533,0.7953669495543833,0.24150175163529192,0.3333217606223549,0.33913461678437984,1.1534175369632045,0.67,0.71,1.05,0.99,0.8937214993625003,198368.48200000005,18429.298999999995,14907.094999999994,0.8088801966911491,0.09290437076591629,0.09301772771020711,0.0751485056986018,0.07542501461777247
Shoe,85,1.0205314602380813,0.12023841052699888,0.8897193989452938,0.352542931120207,0.0695,0.1435946250096356,0.05235435,0.11028060105470616,0.1127521155300474,0.979181546711328,0.21935755351115635,4.463860628631271,4.652365254366214,0.12394986687424918,0.9333803937385782,0.04677493476728316,0.36803811401947795,0.352542931120207,0.2154115037033621,0.94,0.9,1.05,1.13,0.9998363093422655,13068.905,2129.709,1040.6050000000002,0.4886137026232224,0.16296001845602212,0.15183539666121676,0.07962449799734563,0.08293519688765769
Software (Entertainment),320,1.4800451918455317,0.15690760630927342,0.9327171051939886,0.47746935346140246,0.0695,0.09457459245258758,0.05235435,0.06728289480601135,0.14987296056339064,1.4648921606853302,0.23032681726873414,6.360059058933486,6.425848320209656,0.07213644354899833,1.403764112438599,0.041728701871223906,0.5234856492896769,0.47746935346140246,0.6132942395767804,1.25,1.18,1.16,1.28,1.266978432137066,151015.63900000008,23681.780999999977,25338.355000000018,1.0699514111713153,0.15681674531735063,0.1654055313964546,0.16778629794759206,0.17931597610424815
Software (Internet),152,1.3494055466433648,0.1464825626221405,0.8571045875359944,0.4324304510301731,0.0695,0.09032377055153115,0.05235435,0.1428954124640056,0.1330320728550001,1.2628480564068731,0.2519143732657084,5.013005173289082,5.356604028385748,0.16671875817956067,1.1988436794225128,0.05068256363831233,0.4679621951652259,0.4324304510301731,0.3583973004478195,1.06,1.22,0.52,1.11,1.0345696112813747,3470.1440000000007,726.6730000000002,819.4139999999996,1.1276241170375112,0.20940716004868964,,0.23613256395123647,
Software (System & Application),1648,1.3540948759786284,0.14685677110309453,0.9179209765298469,0.4454074927960674,0.0695,0.07883901773011613,0.05235435,0.08207902347015306,0.13910010466338735,1.3178605209622307,0.23786228316502517,5.5404350089750025,5.692768344610475,0.08941839828135163,1.2686406625554685,0.037348306306971245,0.48660354665715355,0.4454074927960674,0.28997706917531674,1.18,1.25,1.2,1.2,1.2295721041924463,137109.129,25453.70100000001,30510.326000000012,1.198659715536063,0.18564555974970864,0.26183635838355857,0.22252585384011894,0.31456985928567177
Steel,710,1.2339858111510127,0.1372720677298508,0.6787511126097563,0.36054916600984277,0.0695,0.156647672993144,0.05235435,0.3212488873902437,0.10999234538941745,1.0387463631868152,0.19721793988670028,5.266997331903804,6.256965324046712,0.47329408589116173,0.909661855037274,0.12426951633651663,0.3652153906745763,0.36054916600984277,0.7305829093893479,0.89,0.82,0.74,1.07,0.911749272637363,170125.40199999977,35400.80499999999,41965.87499999993,1.185449737654269,0.2080865325449755,0.2113294693365806,0.24667612541482772,0.25395258380216634
Telecom (Wireless),99,0.8356105248266873,0.10548171988116964,0.5900286477052252,0.27376891988486907,0.0695,0.16214040083610165,0.05235435,0.40997135229477477,0.08370102020712183,0.5994486949624184,0.18498445418139872,3.240535522917993,4.517193234017785,0.6948329608897129,0.548510458812539,0.08497513895342264,0.31576774759295073,0.27376891988486907,0.12947507291575144,0.69,0.61,0.73,0.72,0.6698897389924836,75502.62000000001,20277.01299999999,23331.787000000008,1.1506520708942691,0.26856038903020835,0.3808530035554063,0.3090195677977798,0.38574097422440806
Telecom. Equipment,461,1.1987978378632358,0.1344640674614862,0.877284311748913,0.35575957529107116,0.0695,0.08404779089212236,0.05235435,0.12271568825108703,0.12438791697109762,1.1754366702843682,0.2222212448503305,5.289488280366907,5.394613996832953,0.13988132080744356,1.0845192281648102,0.07734780138989776,0.3873191497985477,0.35575957529107116,0.14137918398170188,1.28,1.27,1.2,1.17,1.2190873340568735,30489.846999999998,5121.853000000003,7340.865999999997,1.433244179401477,0.16798552646066092,0.19150255847253292,0.24076427802343509,0.27403906044360793
Telecom. Services,295,0.83120448295402,0.1051301177397308,0.5447671498119844,0.3323458822442584,0.0695,0.13675559575935828,0.05235435,0.4552328501880156,0.08110485457071243,0.5328634384133827,0.19706225425456597,2.7040360439855067,4.217979166524027,0.8356466617804139,0.5101001793369285,0.04271874824858027,0.34657576559228437,0.3323458822442584,0.08040531929775036,0.66,0.59,0.96,0.58,0.6645726876826765,145046.79899999994,29933.107999999982,20358.525999999998,0.6801340508977555,0.20636862175772658,0.26573536611817405,0.14035832669426926,0.15272281662988615
Tobacco,56,0.8928613188910068,0.11005033324750234,0.7884940810013505,0.28815132980992253,0.0695,0.18772024591495493,0.05235435,0.21150591899864946,0.09784729128820867,0.7752611377217213,0.17459866033768556,4.440246770635663,5.113792495109372,0.26824033825345495,0.7427726346041967,0.04190652869947703,0.35147373637497514,0.28815132980992253,0.124744219380015,0.77,0.87,0.94,0.73,0.8170522275443443,43437.198,11644.448000000002,15179.264,1.3035623500572975,0.26807548682122645,0.2694850168700296,0.34945311159343195,0.3503791919143888
Transportation,302,1.0148110401540846,0.11978192100429595,0.6885403279023332,0.3108429730265392,0.0695,0.17256982321882886,0.05235435,0.3114596720976668,0.0987809518489558,0.8308679841758,0.20684244239490315,4.016912460304006,4.906203138989287,0.45234775579019704,0.7568960225590765,0.08902974121707405,0.33819180698080703,0.3108429730265392,0.22962528074439897,0.8,0.79,0.77,0.85,0.80817359683516,62201.85199999996,14921.861999999994,12107.768999999998,0.8114114042872131,0.23989417549818295,0.24935573357143803,0.1946528698213038,0.20231552429820224
Transportation (Railroads),50,0.6726147258124854,0.09247465511983632,0.7190682608326444,0.1904649831765268,0.0618,0.21371577768415168,0.04655394,0.2809317391673556,0.07957406875741202,0.5377120552489277,0.22352640933618345,2.4055862430117125,3.0091062967010473,0.39068855416042286,0.5196722320909183,0.03354922580201058,0.1797251971002914,0.1904649831765268,0.21354349249651322,0.91,0.83,1.52,0.67,0.8935424110497856,41752.91699999998,9793.33,8427.113000000003,0.8604951533339531,0.23455439053515723,0.21992614877082337,0.20183291624870203,0.20546879550647956
Trucking,220,1.0796626585301576,0.12495708015070657,0.6297199386135846,0.31796488514967647,0.0695,0.16867577072712142,0.05235435,0.37028006138641545,0.09807373677368159,0.8010306050790537,0.2247835060161672,3.5635648685960115,4.803122247112316,0.5880075231564654,0.7482349362023492,0.06590967753534725,0.3311068636345737,0.31796488514967647,0.6044933968484426,0.57,0.65,0.71,0.92,0.7302061210158107,25595.090999999982,6434.028999999996,3599.158999999999,0.559394276898659,0.25137746140461076,0.5491453356149012,0.14061911325105278,0.3166475900567016
Utility (General),51,0.6809328539400714,0.0931384417444177,0.5535253093313777,0.1837333836003369,0.0618,0.1557981780618161,0.04655394,0.44647469066862233,0.0723396407381269,0.4455522909876226,0.30526010362058714,1.459582453465347,2.2306644263818183,0.8066021248566477,0.42356754561400894,0.04934268281929765,0.20466102089566593,0.1837333836003369,0.12804002072789394,0.38,0.41,,0.52,0.43888807274690567,49172.25000000001,9318.748999999998,6189.540000000001,0.6642028881773725,0.18951235707131556,0.19133762746342464,0.1258746549120693,0.1305287047943551
Utility (Water),104,0.7403783627900649,0.09788219335064718,0.5474149494496756,0.2917020473638641,0.0695,0.1288865652139681,0.05235435,0.4525850505503244,0.07727697206634727,0.48577767777887526,0.17782160971045488,2.731825893207592,4.163601735444952,0.8267677947146216,0.4562339510982984,0.0608173821729723,0.29173364493574433,0.3589059186683053,0.1850853446884092,0.65,0.69,2.37,0.51,0.941155535555775,10713.616000000005,2094.580999999999,1313.6299999999999,0.6271564575444923,0.195506447122988,0.2057444571796427,0.12261313080476276,0.1355211968839914
