,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201923,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies2,aggregate_tax_rate3
Heathcare Information and Technology,138,1.4715094541215377,0.12620766157481933,0.8755942997991671,0.5387173762249065,0.058800000000000005,0.04304939948115865,0.0441,0.12440570020083286,0.11599300044475092,0.11599300044475092,1.370736187816319,0.31317349183587456,4.376922771403281,4.698703729665327,0.14208144140427534,1.3298040924419459,0.029861395459020352,0.6172879220079127,0.5387173762249065,0.48966291900694897,1.1770734443491222,1.152697351786613,0.75,0.9088883028884132,1.0718790573680934,27164.361,4297.602,6888.842000000001,1.6029502033924967,0.15820736589386364,14.294851253880612,0.2535985293377599,40.42961189264644
Homebuilding,32,1.5022071383659328,0.12803110401893641,0.7556537921326947,0.3333038712963018,0.055,0.1781463991245361,0.04125,0.24434620786730532,0.10682647033737112,0.10682647033737114,1.3331558308257836,0.44614863238686847,2.98814281620338,3.3670553472936016,0.3233573501665131,1.2090023026647645,0.09312754390018754,0.41272083246912217,0.3333038712963018,0.7057621887664007,0.7246149165867888,0.6640558389827699,1.33,1.5855573182596445,1.1274767809309973,32663.499999999996,7553.309999999999,5652.220000000001,0.7483103434123586,0.23124619223292053,0.23124676943982453,0.17304391752261705,0.17304826710632037
Hospitals/Healthcare Facilities,34,1.174001444953803,0.1085356858302559,0.5340812579349085,0.5119442326502478,0.058800000000000005,0.09557019609780229,0.0441,0.46591874206509154,0.07851389214412163,0.07851389214412174,0.7230794758104835,0.2940820355151152,2.458767923528327,3.992088271891269,0.8723742598020087,0.7096748747703817,0.01853821258731876,0.6027909329624173,0.5119442326502478,0.18609860515663568,0.5521951118294665,0.6255623897598616,0.8,0.9635819983948228,0.7328837951589269,12355.127999999999,2979.2580000000003,2611.0139999999997,0.8763974117045249,0.24113534072653886,0.2506452136760695,0.21133038848322735,0.22153487293163818
Hotel/Gaming,69,1.4599765370156599,0.1255226062987302,0.6003222196836309,0.38051359185436157,0.055,0.08142422866048325,0.04125,0.39967778031636914,0.09184071807177843,0.0918407180717784,1.0609649277632753,0.37474625318946336,2.831155531865652,3.895906962617524,0.66577209240564,0.9737532386357108,0.08220035068588367,0.4849956687865248,0.38051359185436157,1.0024098795355374,0.7117119465176714,0.9144446236425152,1.19,1.437433727843527,1.0629110451533976,16641.260000000006,3968.179000000001,3796.4430000000007,0.9567217103865525,0.23845423964291163,,0.2281343480000913,
Household Products,127,1.1550009836175177,0.10740705842688056,0.8656211766809984,0.568275249431107,0.058800000000000005,0.06727024630355635,0.0441,0.13437882331900164,0.09889993040768906,0.09889993040768896,1.0578798468783357,0.20084755602713497,5.267078513693309,5.750634991353713,0.1552397595380495,1.0345486686981815,0.022054657954777637,0.657658600910968,0.568275249431107,0.06918830586435934,0.9972506674830345,0.9370572448948898,0.68,0.9200717469168898,0.9184519012346299,30616.808999999997,6172.314000000001,7358.871000000001,1.192238599656466,0.2015988668185506,0.21116650699581352,0.24035395066807916,0.2548156024122691
Information Services,73,1.4047128789332648,0.12223994500863593,0.8844958510076718,0.4510937058049509,0.055,0.12449529547899026,0.04125,0.11550414899232819,0.11288527033347798,0.11288527033347795,1.3334436182933442,0.38239655602428657,3.487070156062429,3.673445424137265,0.13058755319285983,1.279406915006702,0.04052417555967079,0.4768121512169421,0.4510937058049509,0.2835450565434452,1.04761476043476,1.0315158970762186,0.97,1.2038667851126352,1.1172882121833916,49631.13300000001,9482.032999999998,11161.666000000001,1.1771384891826473,0.19105010155621463,0.20165831027905,0.22489242790407382,0.23847108327673514
Insurance (General),21,1.2277613538599423,0.11172902441928058,0.7663482892755388,0.4376102850667002,0.055,0.10263886699732405,0.04125,0.23365171072446123,0.09526147979352459,0.0952614797935245,1.0269385936275734,0.4077955438998016,2.5182683062370588,3.0107277340961147,0.304889713977625,0.9992626713236528,0.026949929115194532,0.45212247290893337,0.4376102850667002,0.3798975221445363,0.6717916195533868,0.5926992839184214,0.56,0.8109091333395879,0.7324677260877939,28714.790000000005,5851.687,2934.0359999999996,0.501400023617121,0.20378651559004954,0.2117822888337703,0.10217856372970163,0.10832673067735493
Insurance (Life),27,0.9393536603143791,0.09459760742267412,0.5197418571878194,0.28891454530535254,0.055,0.11407564986678613,0.04125,0.4802581428121806,0.06897698455838734,0.06897698455838741,0.6674646710271233,0.4049536756937425,1.6482494445411875,2.31965707856617,0.9240320674011627,0.5548377531959658,0.16873839578331887,0.37737813626902367,0.28891454530535254,0.19531559316980887,0.7033562806382644,0.7324805743770343,0.64,0.8829882032543376,0.7252579458593519,23040.936,3352.16,4123.8820000000005,1.2302163381222855,0.1454871451402842,0.14984383763650916,0.1789806629383459,0.22486649669239403
Insurance (Prop/Cas.),51,0.8033013628246957,0.08651610095178693,0.8232759970528896,0.2766718330726164,0.055,0.109240658776035,0.04125,0.17672400294711044,0.07851649439377913,0.07851649439377906,0.7295385474975669,0.35443380785729367,2.0583209934400566,2.266435495194438,0.21465948670887489,0.6919079144934643,0.05158141832694316,0.3527091878622686,0.2766718330726164,0.25431028874335815,0.6511506597940658,0.5890715247484962,0.58,0.7847772659651794,0.6669075996010616,17408.7,3459.4600000000005,5570.129,1.6101151624820056,0.19872018013981518,0.20833385740499286,0.31996237513427195,0.3892195664599729
Investments & Asset Management,600,0.6236129544790963,0.07584260949605831,0.722820646257876,0.09906426739982557,0.0473,0.040125418223955996,0.035475,0.277179353742124,0.06465354158382644,0.06465354158382652,0.5377530864305458,0.17825326356898852,3.0167923754306,3.4984658456911912,0.38346905996267916,0.4843212838893664,0.09936121965537131,0.14993616815022495,0.09906426739982557,0.26121287090127876,0.866684474117967,0.8601828401441228,0.78,0.9651176049094974,0.8019476011204265,43946.03400000007,7998.826000000004,9450.868999999999,1.1815320148231747,0.18201474107993432,0.18794901722109295,0.21505624375569324,0.22272988707218977
Machinery,116,1.224816899432044,0.11155412382626342,0.827523473765579,0.32362033573649224,0.055,0.10366582315102471,0.04125,0.172476526234421,0.09942831276875491,0.09942831276875497,1.0938250803149925,0.3790957023338192,2.885353417570021,3.2308910174705985,0.20842493500465975,1.0592381651393292,0.03162015188543964,0.4224065663042139,0.32362033573649224,0.16912160618518354,1.0121653053546547,1.0985210616277283,0.96,1.1782642967693542,1.068555148813346,21096.828000000005,4427.081000000001,5507.827000000001,1.2441215780781965,0.20984581189172136,0.2254806789245237,0.26107370264382873,0.29466637641366583
Metals & Mining,68,1.2900534643158847,0.11542917578036356,0.8227410152252428,0.7005623950119386,0.0701,0.04147068722180357,0.052575,0.1772589847747572,0.10428770839268217,0.10428770839268209,1.2191906966167014,0.19150977721440157,6.366206020133253,6.73622769072321,0.21544931089430228,1.1105956618026913,0.08907141033422034,0.6658049675950692,0.7005623950119386,0.5271134029983492,1.1094422701693822,1.0865722025981523,0.82,1.1279972137776122,1.0726404766323696,13170.536,5058.41,3400.4390000000003,0.6722347536083474,0.38407016996119214,0.4045732552090225,0.2581853160721781,0.27020724365470417
Office Equipment & Services,16,1.1770946700328646,0.10871942339995216,0.5995152705599636,0.35220934553840333,0.055,0.19532686112334122,0.04125,0.40048472944003644,0.08169894962414706,0.08169894962414714,0.8448370751926576,0.3701460392081128,2.282442565102398,3.1800817659730485,0.6680142260029055,0.7842014010621634,0.07177203263323499,0.4441949474746268,0.35220934553840333,0.18329346039703018,1.3336679465607404,1.2442326298508288,0.83,1.111467824035779,1.0728410951280012,652,157.97000000000003,184.47799999999998,1.1678040134202694,0.2422852760736197,0.24923340337769484,0.28294171779141103,0.2871476379484785
Oil/Gas (Integrated),4,0.9774858927490678,0.09686266202929464,0.8968302911543922,0.3054894443464334,0.055,0.14222153189085546,0.04125,0.10316970884560783,0.09112511987960312,0.09112511987960303,0.946268369906833,0.2678594579935353,3.5327047138640557,3.6492491251612225,0.11503816258570915,0.899848227707923,0.049056001104084736,0.34410896982169686,0.3054894443464334,0.9762764799479865,1.055607164642918,1.1174661727895663,0.98,1.250926196365303,1.070053580740924,131383.1,30387.173,22217.31,0.731141064027246,0.23128677128184674,0.23128677128184674,0.16910325605043572,0.16910325605043572
Oil/Gas (Production and Exploration),174,1.2574315521617736,0.11349143419840936,0.8327550651416682,0.569768773700139,0.058800000000000005,0.04603859457651496,0.0441,0.1672449348583318,0.10188606830617017,0.1018860683061702,1.1361280842130776,0.181588092504846,6.256622163607771,6.9246366037366505,0.2008332844302546,1.0928248493155008,0.038114747359291025,0.5789642939989437,0.569768773700139,2.3177756312329634,1.0743174544514105,1.076710639640376,0.81,1.1279889221313977,1.0450290200872523,115632.91399999998,24231.135,11970.642000000003,0.4940190379030947,0.20955223008563117,0.21168447513249547,0.10352279109735145,0.1061481619759972
Oil/Gas Distribution,23,0.9912553313271651,0.09768056668083361,0.5833933805324584,0.33549336269635954,0.055,0.06902111794587905,0.04125,0.41660661946754163,0.07417121906129383,0.07417121906129376,0.656489918658282,0.3061923665396461,2.1440440402791,3.2373613442084825,0.7141092672105881,0.6455242138420741,0.01670353878185875,0.42358629907014234,0.33549336269635954,0.3356125997123904,0.6231608561764338,0.6175192303191579,0.6,0.8645108713214169,0.6723361752950581,11420.18,1910.8500000000001,109.032,0.057059423816626105,0.16732223134836754,0.3039075889960157,0.009547310112450066,0.018668488450336702
Oilfield Svcs/Equip.,101,1.3751593545688363,0.12048446566138887,0.7541240373139191,0.4689810733878538,0.055,0.07068521438891592,0.04125,0.24587596268608092,0.10100261513897765,0.10100261513897757,1.1869387038702228,0.2061151044506742,5.758620684464545,6.671802914365881,0.32604180548581313,1.1049615986151144,0.06906599724805292,0.5323266583847177,0.4689810733878538,0.6757256150042742,1.0668864769579942,1.218654717118134,0.83,1.1791731857829815,1.0963306167458664,58215.580000000016,12273.744000000006,5895.049999999998,0.48029761741812405,0.2108326327763118,0.21694329634283782,0.10126241119645285,0.10352495349933848
Packaging & Container,25,0.9524219969120523,0.0953738666165759,0.6174148790522554,0.24431384085324004,0.0473,0.14661913030028642,0.035475,0.38258512094774455,0.0724574514874404,0.07245745148744032,0.6704997219078969,0.4944289579149495,1.3561093280932681,1.926307069328018,0.6196564642805832,0.6502317612894054,0.03022814172214613,0.3688793813718014,0.24431384085324004,0.08167653480583857,0.7370550227480763,0.6781735167393964,0.68,0.7782958213072473,0.7088048165405233,12094.928000000002,2464.6,2880.6400000000003,1.1688062971678976,0.20377136598084747,0.1666738410289373,0.23816925574091882,0.24701300714737978
Paper/Forest Products,7,1.3830066711394122,0.1209505962656811,0.6950960020707797,0.42843597130920175,0.055,0.12757457269381595,0.04125,0.3049039979292203,0.09664956582693224,0.09664956582693218,1.1258403034857074,0.26401196859262543,4.26435327719137,5.238424146116698,0.4386501965496456,1.0406467462902025,0.07567108490585898,0.6011566734952618,0.42843597130920175,0.9283253994083562,1.1728745712683208,1.2543747470505289,0.96,0.9984958405826988,1.1023170924774512,2125.8,548.4,408.8,0.7454412837345005,0.25797346881174144,0.27590498910901357,0.19230407376046663,0.21201120215745256
Power,48,0.7250009747102386,0.08186505789778817,0.5644750333783491,0.1717812350329328,0.0473,0.12298398219937019,0.035475,0.43552496662165086,0.061661029480277525,0.06166102948027752,0.4640263901945677,0.39324166501127406,1.1800031163566156,1.8436524895942885,0.7715575373016235,0.4592484958560893,0.01029660045083866,0.2556313254305959,0.1717812350329328,0.08060268856782013,0.3460165075906414,0.37843539998307546,0.43,0.5574641631069509,0.43518849217504707,38842.119999999995,5233.073,2289.7279999999996,0.4375494093050106,0.13472676053727245,0.09204974896546682,0.05894961449066117,0.06153525313880507
Precious Metals,74,1.2336190389708566,0.11207697091486889,0.8596506621607731,0.7254331454586879,0.0701,0.02873015346934519,0.052575,0.14034933783922687,0.10372590869683809,0.10372590869683807,1.1872086171220402,0.14493089399846465,8.191549671491138,8.511774163098208,0.16326322309396255,1.0990439462329342,0.07426215546078967,0.6947327970793664,0.7254331454586879,0.7081999774663107,1.1490747541483908,1.3320479668619645,0.75,0.9873774941222514,1.0811417664509293,1675.5729999999999,747.516,1837.3540000000003,2.457946050653097,0.4461255940505129,0.5868618633894235,1.0965526419917249,1.5577027421137946
Publishing & Newspapers,20,1.114895776688169,0.10502480913527724,0.7033517245165042,0.30919744401282184,0.055,0.09667014521273086,0.04125,0.2966482754834958,0.08610612198600814,0.0861061219860082,0.9141555268995404,0.32499012981024117,2.812871663004989,3.4305527289064033,0.4217637707327963,0.846977468544032,0.0734864652444319,0.4606505763247093,0.30919744401282184,0.12028984478810541,0.8978859113758451,0.7567842313849863,1.1,1.4642640113348089,1.0266179361990362,1360.2949999999998,208.10000000000002,394.9550000000001,1.8979096588178763,0.1529815223903639,0.2218300718177204,0.29034510896533483,0.35478133547723534
R.E.I.T.,223,1.063376043005491,0.10196453695452617,0.5639269474189975,0.21541532639566627,0.0473,0.033816563274859365,0.035475,0.4360730525810025,0.07297024161006857,0.0729702416100686,0.6855568332302365,0.4823542525222221,1.4212724976414568,2.2045540957607734,0.7732793309077326,0.6730400647800693,0.018257812982754706,0.3082774695650108,0.21541532639566627,0.20589119125697528,0.409468579532681,0.4256203375693727,0.79,0.9882216516797577,0.6597734804024096,58872.92400000001,2521.5350000000026,1933.7259999999997,0.7668844572849466,0.042830130197032544,0.046302933943174425,0.032845761151594904,0.03754156147537808
Real Estate (Development),18,1.5166924498761216,0.12889153152264163,0.47046301131425805,0.5125063500210518,0.058800000000000005,0.06664021651309512,0.0441,0.529536988685742,0.08399127925408982,0.08399127925408978,0.8838048274406524,0.1750069916051184,5.0501115374570205,8.666467756318847,1.1255656150447586,0.8224236303686755,0.0694510769416436,0.5935560500176223,0.5125063500210518,0.6987425968407183,0.8710375930164825,0.8910740523856756,0.56,0.7424411801966027,0.7896715306078826,658.41,151.19000000000003,66.603,0.4405251670083999,0.22962895460275518,0.25752765016164714,0.101157333576343,0.11332822868810619
Real Estate (General/Diversified),12,0.7898029768416497,0.08571429682439399,0.7152113958386742,0.28661749273612586,0.055,0.09371295164655669,0.04125,0.2847886041613258,0.07305137179675997,0.07305137179676002,0.6649391588559308,0.2606567779488852,2.5510142651511076,3.0300496425093155,0.39818801240908047,0.6081765254458054,0.08536515356952208,0.5264619483249621,0.28661749273612586,1.118865944697315,1.32735715457991,1.501720441937595,0.76,0.8332663411468256,1.0174566193040522,251.69,57.580000000000005,42.407,0.736488364015283,0.22877349119949147,0.23703795686907572,0.1684890142635782,0.17553292768740425
Real Estate (Operations & Services),60,1.3454843302112593,0.11872176921454881,0.4778803349570494,0.44434220453063733,0.055,0.054661662502489834,0.04125,0.5221196650429506,0.07827223502196382,0.07827223502196379,0.8050206047433183,0.2677934382124065,3.006125206491422,5.024336440775885,1.0925740752439148,0.73950848272502,0.08137943505084179,0.5368798902000679,0.44434220453063733,1.2181846340506288,0.9528770584096617,0.6750476077656148,0.75,0.8711247503573315,0.8108140042551852,6114.981,1236.989,1426.0880000000002,1.152870397392378,0.2022882818442118,,0.2332121718775578,
Recreation,57,1.417980944163648,0.12302806808332069,0.6576328144491093,0.42131153923229786,0.055,0.09492884546666287,0.04125,0.34236718555089074,0.09502994107384506,0.0950299410738451,1.0754929270701692,0.33423685770895106,3.217756816056157,4.242443379474344,0.5206053865144905,1.0197970615986987,0.05178636146236303,0.5939259548412263,0.42131153923229786,0.18303595298722516,0.8092329672801789,0.7540286170435926,0.77,1.073632586741868,0.8964774196271617,5840.229999999999,1170.7230000000002,1191.0949999999993,1.0174012127548524,0.20045837235862293,0.5025766950531123,0.2039465911445268,0.5749510292781677
Reinsurance,1,0.8292482034163514,0.08805734328293127,0.6891861708289819,0.1936761567443839,0.0473,0.06482982171799027,0.035475,0.3108138291710181,0.07171402382037845,0.07171402382037839,0.8316073808059627,0.38600518131237566,2.1543943477095,2.148282571226111,0.45098674687154305,0.6196557912943786,0.254869779181335,0.20758239974021755,0.1936761567443839,0.21772502996630683,0.8820173563179452,0.7698542925210008,1.13,1.2950268765575916,0.9817011812405001,617,40,163,4.075,0.06482982171799027,0.06482982171799027,0.26418152350081037,0.26418152350081037
Restaurant/Dining,70,1.4103978688180479,0.12257763340779204,0.7646695903508474,0.41147053391609606,0.055,0.08544330611761185,0.04125,0.23533040964915264,0.10343876812214023,0.10343876812214026,1.1660017105464549,0.3472046135805505,3.3582552331953552,4.062151865648639,0.3077543721088449,1.1459049297128838,0.01723563580721726,0.4749197130090601,0.41147053391609606,0.16308151930383236,0.6510688399498351,0.7518963813261236,1.11,1.332165894153193,1.0022265651951214,18326.143999999993,3903.9970000000003,4484.914000000001,1.1488005754102784,0.2130288291961474,0.21940097179076432,0.24472764155951204,0.2561804504578351
Retail (Automotive),30,1.5201925121768585,0.12909943522330541,0.6349738350105025,0.3571089596648453,0.055,0.15838509352594998,0.04125,0.36502616498949747,0.09703209278724896,0.097032092787249,1.0827260845919955,0.3853995125824394,2.8093602852193373,3.9444588343937768,0.5748680415838864,1.0622166906556574,0.018942366151700137,0.4958162101500319,0.3571089596648453,0.31378397990022294,0.7609980014069839,0.8685186932111402,0.99,1.1214912603915739,0.9647468079203387,17548.78,4134.299999999999,3743.0259999999994,0.9053590692499335,0.23558902670157125,0.28062229437635366,0.21329266194003227,0.255258454721195
Retail (Building Supply),15,1.7891723510222548,0.14507683765072193,0.8249904271458701,0.3754618371665436,0.055,0.13391716018934746,0.04125,0.17500957285412988,0.126906147142674,0.126906147142674,1.5670419621739333,0.48344016461300404,3.2414393277156797,3.700917883921571,0.21213527708387048,1.5435856274378488,0.014968542835664624,0.4708175159353282,0.3754618371665436,0.33819679970227606,0.9672791777625668,1.1509711433254448,1.43,1.4189632481805372,1.3068511062884964,34697,8645.21,8272.939999999997,0.9569391605293565,0.24916304003227943,0.2613776610395613,0.23843387036343192,0.24690413308220324
Retail (Distributors),69,1.2752456934388758,0.11454959419026922,0.7165002328254243,0.3708301077624006,0.055,0.135946438940009,0.04125,0.2834997671745757,0.093769176303337,0.09376917630333703,1.00607436454125,0.35849019021900097,2.806420906320034,3.5572680319643633,0.3956729589000016,0.9834131887718831,0.022524354628298306,0.46193491376213663,0.3708301077624006,0.25350519996716575,0.9870211814795625,0.8937149652220674,0.75,1.064511615250408,0.9402644252986576,20043.644,4701.598,3790.4200000000014,0.8061982330263033,0.23456802565441692,0.2398841518485961,0.1891083278070595,0.19467687091862665
Retail (General),15,1.3632136186935628,0.11977488895039763,0.8335442162915475,0.3152808031931311,0.055,0.21259763765231698,0.04125,0.1664557837084525,0.10670396701953999,0.10670396701953999,1.2201002971574864,0.47978164413460245,2.5430324650252523,2.84132091204205,0.19969640536769256,1.1856378988434997,0.028245545382027257,0.34600452314885843,0.3152808031931311,0.11083736572099039,0.7514861871220232,0.9457267947342817,0.81,1.0383563104796276,0.9531339178986837,35470.9,9012.099999999999,11642.259999999998,1.2918476270791492,0.2540702378569475,0.2545901895497625,0.3282200338869326,0.33075353985317846
Retail (Grocery and Food),13,0.6675697330631398,0.07845364214395051,0.6030723877385448,0.28264661461127033,0.055,0.16454371176768529,0.04125,0.39692761226145523,0.06368648930032259,0.06368648930032261,0.4731749077028324,0.27612394788622036,1.713632270308582,2.417645184974027,0.6581757353373286,0.44694397400442637,0.05543602010882578,0.44427105868248346,0.28264661461127033,0.2850256744980758,0.2812326219094314,0.3451030636472698,0.15,0.21200696239163366,0.2923035111302334,6743.1,1503.52,1317.7320000000002,0.8764313078642121,0.22297163025907965,0.22691941425663018,0.1954193175245807,0.1988696233536721
Retail (Online),63,1.4871300694613425,0.12713552612600376,0.8391060530131923,0.5941038876075868,0.058800000000000005,0.04094171985804849,0.0441,0.1608939469868077,0.11377561258746482,0.11377561258746471,1.355989844350516,0.2966952421688861,4.570312063105662,5.012315191137552,0.19174447188057428,1.3001566778011107,0.04117520996342569,0.7024869327703446,0.5941038876075868,0.77434468390971,1.34449825920508,1.1594182467938388,1.14,1.0650034437346438,1.2129819588168158,10270.757000000003,45.227999999999994,5817.395,128.62375077385693,0.00440357025290346,,0.5664037227246247,
Retail (Special Lines),78,1.4752073825450458,0.12642731852317574,0.7186057001084567,0.3858590522578964,0.055,0.15019349979060045,0.04125,0.2813942998915433,0.10245890661070772,0.10245890661070778,1.187876333197214,0.36569663231282434,3.2482561452222516,4.033964910245942,0.39158372922601853,1.1403117398631728,0.040041704683196455,0.5087813282201621,0.3858590522578964,0.22316138846103836,0.8000650410909912,0.6903463796794427,1.03,1.2289647113509314,0.9874504930637158,24931.457000000002,5129.405000000002,5660.914000000002,1.1036200105080414,0.20574028224664132,0.21637183222086143,0.22705909245496567,0.25190597734662923
Rubber& Tires,3,0.8380149796297053,0.0885780897900045,0.23237766290314577,0.39785998397496214,0.055,0,0.04125,0.7676223370968542,0.05224799089507148,0.05224799089507148,0.267665547396446,0.24044107918185295,1.113227191905932,3.485323649690862,3.303339604619385,0.24098169552288884,0.09969102162421777,0.4502618640265363,0.39785998397496214,0.5067199861505031,0.23902988074589715,0.45318132931651134,0.54,0.5892129358333806,0.417817938658447,692.1220000000001,0,201,,0,,0.29041122807828673,0.29041122807828673
Semiconductor,68,1.607746258634069,0.1343001277628637,0.8987501482174278,0.38404265117692143,0.055,0.08181926880368372,0.04125,0.10124985178257218,0.12487881611852436,0.12487881611852436,1.534267220206094,0.472635517119023,3.2461953548440627,3.401661958107124,0.11265628382191657,1.482487600703569,0.033748762158634794,0.4893379233506794,0.38404265117692143,0.38437761380903246,1.2637967280679967,1.236890276724555,0.96,1.135821074309048,1.2261550598615387,81555.44000000002,8329.073999999999,13839.779000000002,1.6616227686295024,0.1021277550583995,0.09855179001590034,0.16969780311405344,0.1714257158212446
Semiconductor Equip,30,1.757142721715889,0.1431742776699238,0.8945598035981026,0.4156872302967652,0.055,0.10936898430604083,0.04125,0.10544019640189739,0.13242736181428552,0.1324273618142855,1.6892473610771204,0.4937330211082563,3.4213781312122014,3.558892451170724,0.11786824757584162,1.6144255857412013,0.04429296564844726,0.4351337345019169,0.4156872302967652,0.6849290918256756,1.3908894934763405,1.2534843105487556,1.07,1.3414180698068143,1.3490078469818063,21173.363000000005,2859.206,3629.544,1.269423749110767,0.13503787754453553,0.13542707440629154,0.17142028878454496,0.17163299234605098
Shipbuilding & Marine,8,0.9437386318475969,0.09485807473174726,0.719328330740649,0.4116087861322939,0.055,0.06232205247471385,0.04125,0.28067166925935105,0.07981180691100771,0.07981180691100764,0.7803339556376949,0.29603839198306237,2.6359214776519297,3.187892710556245,0.3901857569968924,0.7300865901959359,0.0643921299063508,0.4893232382847557,0.4116087861322939,0.8299863036102109,0.7785073448794292,1.5713945020074378,0.74,0.8023174759642652,0.9345106556977655,2490.4999999999995,387.402,293.35999999999996,0.7572495753764822,0.15555189720939572,0.15660831952136478,0.11779160811082112,0.11859158345797795
Shoe,13,1.3276925338648697,0.11766493651157327,0.9173128209920463,0.39374185918980237,0.055,0.1069836773191477,0.04125,0.08268717900795375,0.11134640097735939,0.11134640097735948,1.2886673829152329,0.3706313904950371,3.4769515371971402,3.5822452385685017,0.09014065552744598,1.2436171828026032,0.03495874941035351,0.5084634578495381,0.39374185918980237,0.2827079019714945,0.7412820035926789,0.8336099690951179,0.98,1.1884916532310223,1.0064102017668104,8846.1,1256.65,493.2,0.3924720487009111,0.14205695165101007,0.11463887874360847,0.0557533828466782,0.056291088385682975
Software (Entertainment),91,1.363575730964357,0.11979639841928282,0.9541753717135814,0.5870954387158441,0.058800000000000005,0.0381657195507904,0.0441,0.045824628286418645,0.11632763909909853,0.1163276390990986,1.3578802103729628,0.24111605390817842,5.6316457919889045,5.655267282549476,0.04802537315978222,1.3161686143310263,0.03071817066284499,0.6871552157284953,0.5870954387158441,0.6913671007358034,1.2697947323690497,1.2858744552797758,0.96,1.2075498828617475,1.2162198561767072,115204.89800000002,18337.012000000002,19016.346,1.0370471481395114,0.15916868395647554,0.16340874370490957,0.16506542977018215,0.1734588869691637
Software (Internet),33,1.5513058877107246,0.13094756973001703,0.8499392743033889,0.5524383754678915,0.058800000000000005,0.02365026388789812,0.0441,0.1500607256966111,0.11791516039134364,0.11791516039134375,1.416511407810549,0.33265687643446173,4.258175640297105,4.663381392677612,0.17655464364745466,1.36990815333003,0.03290002058829303,0.6605497248979673,0.5524383754678915,0.9109004246955699,1.3051434552841432,1.5032034061311,0.75,0.9750638036621639,1.1899844145775913,2065.3,394.6,527.7610000000001,1.3374581855043084,0.19106183121096207,,0.25553721009054375,
Software (System & Application),390,1.4697712402478267,0.1261044116707209,0.9143703856711471,0.5211121018357716,0.058800000000000005,0.03395114353447462,0.0441,0.08562961432885285,0.11908240552609259,0.11908240552609262,1.4129709426977197,0.3096282829942745,4.563442748296504,4.746889483203332,0.09364871792736469,1.3733143912116959,0.02806607714827414,0.6164066436646158,0.5211121018357716,0.3224015937291314,1.1619596463607587,1.149160826869191,0.89,1.122454939608095,1.1473092711071529,117515.37899999997,20894.612000000005,23839.87899999998,1.1409582049190468,0.17780321331389323,0.23300574856694112,0.20286603509145798,0.26450412220782643
Steel,28,1.3424843767995962,0.11854357198189602,0.7776345913511479,0.3829895701117335,0.055,0.14954162997616205,0.04125,0.22236540864885213,0.10135615526221226,0.1013561552622122,1.2125474928571525,0.33239549222498177,3.647905947041063,4.038816434643271,0.2859510252270157,1.1054137339148622,0.08835427855270939,0.39412504778160207,0.3829895701117335,1.0458573404445946,1.2948714024708063,1.2855689138232198,0.78,0.9825569980735249,1.1111089614449408,33060.03,6819.1100000000015,4812.106999999999,0.7056796268134695,0.2062644831235786,0.2065709157064594,0.1455566434755201,0.14586058559964885
Telecom (Wireless),16,1.0309737102652559,0.10003983838975619,0.6054936922693099,0.5192104768899954,0.058800000000000005,0.03830228311498215,0.0441,0.39450630773069006,0.07797121929156196,0.07797121929156203,0.7113584236080368,0.22537066585960733,3.1563931396962337,4.574569216152966,0.6515448678781984,0.6925521237766423,0.026437164736179304,0.572471775665538,0.5192104768899954,0.6945913812886989,0.7062658331251642,0.5969080740252654,0.39,0.6272301130782924,0.6063524887673518,2288.9,108.6,146.132,1.345598526703499,0.04744637161955524,,0.06384376774870025,0.06746006832240792
Telecom. Equipment,79,1.2331194872073334,0.11204729754011561,0.8954289265144029,0.4134875394830146,0.055,0.040571929767536014,0.04125,0.10457107348559713,0.10464394813646649,0.10464394813646649,1.1784895771242725,0.29012527652431824,4.0620024261329455,4.250300084087894,0.11678322018549975,1.1338118389771843,0.03791101679160369,0.5273300494301266,0.4134875394830146,0.13611769117236694,1.0228587017593667,0.8359786583228734,0.83,1.0568634798545709,0.9848380834122168,19138.631,3530.4329999999995,5291.667999999999,1.4988722346522365,0.184466328861244,0.2021516783010176,0.27649145855834717,0.3002517631677481
Telecom. Services,49,0.8822681652856597,0.09120672901796818,0.4593105948748909,0.5537169562159238,0.058800000000000005,0.06536808307836371,0.0441,0.5406894051251091,0.06573661972785325,0.06573661972785327,0.47390612503545576,0.20359195100362487,2.3277252499388745,4.333512012318951,1.177175991928478,0.46857326594137827,0.01125298621890258,0.5554026212509242,0.5537169562159238,0.22217299283269712,0.7408260327170008,0.6665842243194448,0.42,0.509153351164839,0.562093946647348,53415.458,11807.389999999998,4065.6269999999995,0.34432901767452423,0.22104818421663627,0.22427099385668578,0.07611330413005163,0.07737525967623955
