,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_local_currency,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201923,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies2,aggregate_tax_rate3
Broadcasting,26,1.322058642547223,0.11733028336730504,0.4051337311610076,0.468984145587513,0.055,0.1576323221290473,0.04125,0.5948662688389924,0.07207268906838304,0.07207268906838316,0.7021599591713337,0.2954671859496569,2.3764397285422114,4.474468588780893,1.4683207619722523,0.6291800474881116,0.10393630501139743,0.558392045026283,0.468984145587513,0.3165910010704478,0.5086546647315182,0.729937390293151,0.65,0.8112721237191215,0.6804048275830248,11808.34,2592.1400000000003,1261.26,0.48657094138433876,0.21951773068864888,0.21909254391052232,0.10681094887172964,0.11167532466382563
Brokerage & Investment Banking,30,1.2048082896180194,0.11036561240331036,0.33212846488961534,0.2799624925624301,0.055,0.15316532055412033,0.04125,0.6678715351103847,0.06420526224741713,0.06420526224741718,0.6937505627531657,0.43270335317575653,1.6032937060956316,2.784374747215438,2.0108831543010175,0.4803549826286448,0.30759698309671335,0.35452868010802446,0.2799624925624301,0.3787979681993663,0.4576710177663197,0.5676743238719565,0.57,0.6700703117819938,0.5918332432346871,52532.78499999999,10939.418999999998,12537.104000000001,1.146048432736693,0.20823984488924394,0.21393640592057328,0.2386529478686501,0.2448166551897811
Building Materials,45,1.277280094823728,0.11467043763252945,0.7756374847975982,0.2918991384716212,0.055,0.16705684920922526,0.04125,0.2243625152024018,0.09819764357803407,0.09819764357803407,1.0983592603350816,0.4305629234353803,2.550984305781558,2.966535261867304,0.28926208389857394,1.04957779884339,0.044413028827024706,0.4207823750753867,0.2918991384716212,0.5136947113031773,0.9149343033203543,1.0185312839204805,0.97,1.0871499229138373,1.0177949540979507,19465.750000000004,4291.337,4094.024999999999,0.9540208564370495,0.22045577488665988,0.22922149372277936,0.21031940716386466,0.21788590756723134
Business & Consumer Services,164,1.1709200204529924,0.10835264921490775,0.7844748449112162,0.4578249370970681,0.055,0.09426309087876697,0.04125,0.21552515508878378,0.09389034033599651,0.09389034033599652,1.0198687734730703,0.3067636949599318,3.324607149507315,3.817009769053451,0.27473813403561204,0.9708689729392018,0.048045201312521844,0.5384231377505506,0.4578249370970681,0.188855823489921,1.0001911265533716,0.8948866171646999,0.83,0.9861131480384713,0.9462119330459225,18477.276999999995,4164.267,4534.728999999999,1.088962115061306,0.22537233164821857,0.28401110736844587,0.2454219309479422,0.3235495889176324
Cable TV,10,1.2551641961018303,0.11335675324844872,0.4824721612329482,0.25406917505650006,0.055,0.21948943063387358,0.04125,0.5175278387670518,0.07603950107926996,0.07603950107927004,0.7059202442851957,0.4866412221056696,1.450596891958141,2.57923936379825,1.0726584461257194,0.6955768825799469,0.014652309221875827,0.4067510262609936,0.25406917505650006,0.28732110193947924,0.761515774451065,0.776608279328833,0.7,0.6641386109632104,0.7216365818056607,25912.3,7726.200000000001,6595.700000000001,0.8536796872977661,0.29816727963168077,0.29816727963168077,0.2545393500383988,0.2545393500383988
Chemical (Basic),38,1.2471014770997904,0.11287782773972756,0.6743062540643868,0.4657900442175986,0.055,0.09828891682614273,0.04125,0.3256937459356132,0.08954909220994486,0.08954909220994489,0.9589900308465779,0.28993055851542154,3.307654204362072,4.301379901054674,0.48300567282668855,0.9154689536628781,0.04538219979751011,0.5269623558081643,0.4657900442175986,0.4345106161071502,1.1226945412373202,0.9929566124984756,0.76,0.9371284252203465,0.954353921960544,19590.78,4107.522,2257.59,0.5496233495523579,0.2096660776140613,0.20118973176598426,0.11523737186574502,0.11610399232155066
Chemical (Diversified),4,1.4125912305600932,0.12270791909526954,0.6319430071116079,0.3949317614003628,0.055,0.12024424146819795,0.04125,0.3680569928883921,0.09272676234611871,0.09272676234611876,1.0902565654988166,0.35338311595587735,3.0851971027244653,3.9973365075440284,0.5824211815724537,0.9831400419133287,0.09824891404022827,0.4489238033488614,0.3949317614003628,0.41460083246837737,1.4913554180375088,1.2147165368811397,1.03,1.2079101125783385,1.2068477265991606,2819.5,494.9,344.32,0.6957365124267529,0.17552757581131406,0.17573700171156265,0.12212094342968612,0.1222666486751369
Chemical (Specialty),76,1.2772947079305697,0.11467130565107583,0.7849026671159105,0.4232046909214356,0.055,0.10749764638974661,0.04125,0.2150973328840895,0.0988785786286619,0.0988785786286619,1.1152530501630955,0.36806795385883057,3.0300194256814916,3.470268722227487,0.274043320141152,1.0595274025492285,0.04996681928439253,0.48818195945349135,0.4232046909214356,0.1159045625536897,0.9890237899947718,0.9648570942816654,0.82,0.997722954089115,0.9773713777057296,32843.49,7067.405999999998,6000.614,0.8490546602246993,0.21518437900478904,0.27261716031362776,0.18270329980157407,0.23284199903271807
Coal & Related Energy,19,1.45217888188087,0.12505942558372368,0.8216330297261102,0.6195673940499934,0.058800000000000005,0.022762442840657152,0.0441,0.1783669702738898,0.11061893812724044,0.11061893812724044,1.4289145880963197,0.23412990450474724,6.103084486874452,6.2024493836131285,0.21708836405146484,1.248846370274925,0.12601748160559528,0.5502255669727574,0.6195673940499934,,0.967284291647994,1.0486643640232785,0.56,0.819710873327334,0.9649148234189854,3025.34,175.1,23.700000000000003,0.1353512278697887,0.057877792248144,0.050934364390795926,0.00783383024717883,0.00894002263296869
Computer Services,80,1.1713869322889647,0.10838038377796451,0.7543580083707955,0.47775300169020696,0.055,0.06470761995257893,0.04125,0.24564199162920453,0.09189034260791246,0.09189034260791251,0.9932217950326541,0.2767724321320094,3.5885864331998456,4.23231072280443,0.32563052145455873,0.9414606825485323,0.052114354259030375,0.6052685974116296,0.47775300169020696,0.26370038953388647,1.0462592460215911,0.9528662646292019,0.94,1.0576213168025859,0.9979937244972066,12837.580000000002,2683.3250000000003,4721.034,1.7593970167609214,0.20902109276047354,0.23731803559675668,0.36775108704288495,0.4617640865152459
