,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_euros,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201721,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Broadcasting,25,0.9067782266311935,0.10635497788402391,0.7150158147328209,0.2528951954490073,0.0657,0.1538284651895901,0.04938669,0.28498418526717906,0.09011991677532924,0.0793798190731092,0.8005285058203548,0.3008623107374485,2.6607802880266602,3.013930938735977,0.3985704643101759,0.6977334920712618,0.1284089360987241,0.29515172140271323,0.2528951954490073,0.18673861985634457,0.8180619203518824,1.03,0.75,0.82,0.8437180852344476,3572.76,1100.5730000000003,1167.4869999999996,1.060799238215002,0.30804560060009634,0.3097270790366196,0.32677453845206494,0.32889653771619015
Brokerage & Investment Banking,74,0.8628474648745388,0.10308213613315313,0.523341345100159,0.31836481442085157,0.0657,0.16921159155888213,0.04938669,0.47665865489984105,0.0774877370050775,0.06687209427596352,0.6959319603512203,0.2450930387288671,2.839460328863487,3.520489481666019,0.9107987728518114,0.5121828138283939,0.26403320581812706,0.35426346708423034,0.31836481442085157,0.9341530276150404,1.6916382035632855,0.95,0.73,0.9,0.9935140327829011,3475.468,703.0210000000001,450.062,0.6401828679370886,0.20228095899602588,0.201753331943038,0.12949680445914047,0.12999704802931403
Building Materials,87,1.1399466252895185,0.12372602358406913,0.822313269066878,0.2906397201423098,0.0657,0.15100904291527448,0.04938669,0.17768673093312204,0.11051691041976903,0.09957585711514061,1.0371856315464538,0.3364003831491018,3.083188020885056,3.3886603059671994,0.2160815562842035,0.9806595584536987,0.05449947567097922,0.3522453652476322,0.2906397201423098,0.17951168590843572,0.8350834901393576,0.87,0.83,0.94,0.9024538243371623,15535.482999999998,2961.8339999999994,3545.965000000001,1.1972193580058847,0.19064962447578873,0.1891604340814327,0.2282494210189668,0.2286340470276379
Business & Consumer Services,204,1.0602529583141607,0.11778884539440497,0.7675164363118946,0.32260110470813497,0.0657,0.17601562021654135,0.04938669,0.2324835636881054,0.10188646854436613,0.09103044422373197,0.9120782185944735,0.25111293452951694,3.6321435226080068,4.222215634971738,0.3029036939003497,0.8636142843593673,0.053135721528127046,0.3578832128818125,0.32260110470813497,0.15663191426069736,0.8045448739653007,0.87,0.85,0.97,0.881324618511955,15206.897999999997,3953.815000000003,4227.910999999999,1.0693244372839894,0.2600014151472577,0.3737536616260832,0.2780258669453823,0.40121884652277917
Cable TV,5,0.5167763601477251,0.07729983883100552,0.5318982220839257,0.17473610459575475,0.058,0.09449025211808482,0.0435986,0.4681017779160743,0.061524229016237594,0.05106586222790033,0.333771033882859,0.16755384707107615,1.9920225033166425,3.084240494511052,0.8800589257134511,0.31102246624482255,0.06815620688648591,0.2755206203289613,0.17473610459575475,0.1604423864299257,0.4694310692961555,0.51,0.54,0.41,0.45264042063580295,1765.9,233.89999999999998,381.1,1.6293287729799062,0.13245370632538647,0.14194091811563683,0.21581063480378276,0.22928824980446422
Chemical (Basic),62,1.0330263945024483,0.11576046639043239,0.7743367235949155,0.3560645148741826,0.0657,0.12440940730054863,0.04938669,0.22566327640508455,0.10078234254278898,0.0899371963108404,0.9008276745282723,0.24294456735145034,3.707955622753688,4.252107407728297,0.2914278369201271,0.8473914751433894,0.059319002841320585,0.42344471681670454,0.3560645148741826,0.40588750783299055,0.8144243884315274,0.7,0.75,0.87,0.80705041259196,1849.4489999999998,223.99799999999996,250.8469999999999,1.119862677345333,0.12111607294929462,,0.13563336972254975,0.14790071047433737
Chemical (Diversified),7,1.0178076229711877,0.11462666791135348,0.6677663923417705,0.1739270564886907,0.058,0.17842582416978564,0.0435986,0.3322336076582295,0.09102875666417079,0.08027970487437597,0.783591228675912,0.3766031138554561,2.0806817571260496,2.7026001260356867,0.49752969222234905,0.7407661985043645,0.054652258223859725,0.2129291682866417,0.1739270564886907,0.20906761804736287,1.1797911541850805,1.44,1.08,1.03,1.1026764765721986,9998.5,2050.6,2022.2799999999997,0.9861894079781527,0.20509076361454218,0.20510278444083432,0.2022583387508126,0.20227019356237708
Chemical (Specialty),100,1.1218934464476256,0.1223810617603481,0.8461756698130717,0.3390739232297762,0.0657,0.12870814396396385,0.04938669,0.15382433018692832,0.11115275141689691,0.10020543366894707,1.0252780342177283,0.2907008786779822,3.526917561723157,3.859270916378548,0.18178770162572688,0.9870176648378004,0.03731706727640958,0.3877774245435951,0.3390739232297762,0.18341120456530122,1.0361310409087618,1.07,0.89,0.91,0.9862818150252981,35697.348,7930.5689999999995,6598.797,0.8320710657709428,0.22216129332632778,0.2226467253350862,0.18485398411108858,0.18625203206964075
Coal & Related Energy,17,1.188052838622758,0.12730993647739547,0.9387006553724757,0.6018944154342444,0.0695,0.08151204428666693,0.05224315000000001,0.06129934462752429,0.12270839166303683,0.11164722524271142,1.4007450881176893,0.14833898546758176,9.44286549960132,8.009039800817547,0.06530233496342965,1.1324627719829654,0.1915282933422523,0.4989912886324684,0.6018944154342444,0.7516988080223939,0.8635366599988252,1.1,1.19,1.95,1.3008563496233028,221.626,39.247,27.559,0.7021937982520957,0.17708662341061066,0.26491765547486124,0.1243491287123352,0.21429015753541827
Computer Services,229,1.0148393578315011,0.11440553215844683,0.8956714104025434,0.3147578300985939,0.0657,0.16940221568615837,0.04938669,0.10432858959745661,0.10762220805879642,0.09670967398925168,0.9974962569770381,0.2619823383490032,3.807494288596701,3.8736937925928796,0.11648087500143381,0.9331352710772857,0.06452253374343642,0.32782190027250463,0.3147578300985939,0.27443882189990404,1.0373522679039773,0.99,0.91,0.97,0.9809697049762031,16853.330000000005,4214.929999999998,3672.4280000000012,0.8712903891642336,0.2500947883890006,0.3258521418319847,0.21790518550339905,0.27630248044364547
