,number_of_firms,beta,cost_of_equity,ede,std_dev_in_stock,cost_of_debt,tax_rate,aftertax_cost_of_debt,dde,cost_of_capital,cost_of_capital_euros,average_unlevered_beta,average_correlation_with_the_market,total_unlevered_beta,total_levered_beta,de_ratio,unlevered_beta,cashfirm_value,hilo_risk,standard_deviation_of_equity,standard_deviation_in_operating_income_last_10_years,2019,20200,20210,20220,average_201721,total_taxable_income,total_taxes_paid_accrual,total_cash_taxes_paid,cash_taxesaccrual_taxes,average_across_only_moneymaking_companies,aggregate_tax_rate,average_across_only_moneymaking_companies,aggregate_tax_rate
Heathcare Information and Technology,102,1.2019992995594782,0.12834894781718112,0.882687958099326,0.38853188970479857,0.0657,0.09093281564964427,0.04938669,0.11731204190067401,0.11908572411956014,0.10806024900508171,1.1429011757965009,0.27692541797024517,4.12710824514961,4.34051633241059,0.13290318602881998,1.0928226802363579,0.043816995397911514,0.42412716337889733,0.38853188970479857,0.4175448877211417,0.9601743273935662,1.03,0.82,0.85,0.9606151006380135,5491.714000000001,1122.0110000000004,1328.0589999999997,1.183641693352382,0.20430980200352755,0.2768364033993159,0.24182960001194517,0.3202221683719908
Homebuilding,42,1.1421891195356875,0.12389308940540872,0.8255734787095699,0.2686535768902486,0.0657,0.15860498018694094,0.04938669,0.17442652129043013,0.1108971973432479,0.09995239736942296,1.2130427998566085,0.32905522531713177,3.686441382863684,3.4711167963823883,0.21127922079458178,0.9856496341401405,0.18745683643095498,0.4014710942329847,0.2686535768902486,0.30343176794376614,0.9836431140841455,1.08,1.12,1.32,1.1433371827881509,5577.093000000001,1091.77,1186.854,1.0870916035428708,0.1957596905771519,0.19518232547349532,0.21280871593857228,0.21310549966010242
Hospitals/Healthcare Facilities,29,0.694022615106417,0.09050468482542806,0.2723153630184396,0.29723055322597863,0.0657,0.14443795526421546,0.04938669,0.7276846369815604,0.06058375168747676,0.05013465068562972,0.24649235904482145,0.1935803632365452,1.2733334875687805,3.585191201745795,2.6722129405981616,0.23067173395020835,0.06418302439848177,0.377590992786979,0.29723055322597863,0.1840933691347728,0.4558574726356815,0.37,0.35,0.37,0.35846996633610057,718.881,161.5,202.64999999999998,1.254798761609907,0.22465470641177052,0.38203388370932645,0.2818964473953269,0.5132705707143238
Hotel/Gaming,106,1.2125379150186446,0.12913407466888902,0.7133247011340087,0.37919555089756907,0.0657,0.0955115071212977,0.04938669,0.2866752988659913,0.10627246933515408,0.09537323318406865,1.0156726914212217,0.23943679536128568,4.241924011255978,5.064125224316708,0.4018861234024966,0.9312187732638588,0.08315072254151813,0.38214025264134355,0.37919555089756907,0.8433540219789251,0.664541353185208,0.69,0.93,1.1,0.880042808921286,7028.350999999999,1248.376,1432.1950000000008,1.1472465026562517,0.17762004202692783,0.23159111173098096,0.2037739720170494,0.2547822086609889
Household Products,73,0.8697835487236594,0.10359887437991262,0.853943190995863,0.3433520019618008,0.0657,0.11254413714972393,0.04938669,0.14605680900413698,0.09568081572023866,0.08488593083629548,0.7903389955487747,0.24996918056021158,3.1617457551268044,3.4795631476423123,0.17103808607432833,0.7706957172596113,0.024854244064629705,0.41420935530997754,0.3433520019618008,0.15852666488354045,0.7434363951221269,0.78,0.73,0.79,0.7667550781341803,25263.124999999996,5434.337999999999,6445.545000000002,1.1860773106126272,0.21510949259048512,0.2178010637223943,0.25513648845896947,0.25871742799222364
Information Services,31,1.2620617535216487,0.13282360063736282,0.80093848960056,0.38319808101549435,0.0657,0.13931932948774423,0.04938669,0.19906151039943998,0.11621452318282627,0.10521733576230585,1.1607183037793078,0.24301317652476834,4.776359538928151,5.1933881593166085,0.24853532822316346,1.0633941906311684,0.08384817645353872,0.42689731337222225,0.38319808101549435,0.26102388013543376,1.0305308376447726,1.02,1.04,1.06,1.0622498282848163,2787.9139999999993,763.8860000000002,448.0470000000001,0.5865364727197513,0.27399912622842754,0.7828795266969371,0.1607104810263158,0.5115351637825427
Insurance (General),38,0.9445241112954645,0.10916704629151211,0.6830717495132264,0.20184270704026044,0.058,0.17271562891717426,0.0435986,0.31692825048677364,0.08838655332120719,0.07766353309144147,0.8392499077373967,0.3551194854117792,2.363288814648522,2.6597360891088266,0.4639750519804465,0.7002855035925891,0.16558167342484817,0.23340488154543182,0.20184270704026044,0.11721040229693781,0.8730865311974682,0.79,0.92,0.96,0.876467287786973,49448.18,10881.135999999999,7040.101,0.6470005521482316,0.22005129410222982,0.21323450015483242,0.1423733087850756,0.14689520060411454
Insurance (Life),15,1.1158740713367665,0.1219326183145891,0.3447363349889272,0.19851611706906525,0.058,0.12968037300731877,0.0435986,0.6552636650110728,0.07060318237872695,0.06005536777401055,0.5916879175332567,0.4241348917297309,1.3950465502147242,2.6309414601235606,1.9007676258788317,0.4594329891749127,0.22352142817063755,0.23954319290426734,0.19851611706906525,0.09018278660024888,0.6692222833013624,0.8,0.85,0.69,0.7201820401669238,13590.97,2933.111,2393.812,0.8161341319847766,0.21581322010128784,0.1592169178968163,0.1761325350582041,0.21340034785027281
Insurance (Prop/Cas.),17,0.8808948203103644,0.10442666411312214,0.8267678079654893,0.24796203114552823,0.058,0.1194036494041011,0.0435986,0.17323219203451068,0.09388928522959024,0.08311205089235285,0.7897969072640388,0.30828381202639854,2.5619149512670747,2.8574151024022396,0.20952943542976174,0.7610300878700873,0.03642305905400874,0.2911754872570289,0.24796203114552823,0.21645563960163958,0.6476632954528172,0.68,0.66,0.76,0.7074920405433712,9682.41,1785.527,1967.609,1.1019766153074133,0.18440935676138484,0.18399199708758704,0.20321479879492813,0.20407727436319487
Investments & Asset Management,385,0.9745052233066636,0.11140063913634643,0.7724401296653084,0.32738960029089936,0.0657,0.0555515673274253,0.04938669,0.2275598703346916,0.09728875291193728,0.08647802628226309,1.155285355342713,0.2564347953285992,4.505181731918689,3.8002066843460875,0.29459871593322234,0.7978266316078564,0.30941162898132396,0.3281234060274745,0.32738960029089936,0.39360327171192555,1.0939852732860247,0.91,0.83,0.91,0.9798541257257476,22554.63400000001,2538.1950000000015,2104.3380000000016,0.829068688575937,0.11253541068323257,0.10686972364090884,0.0932995853535021,0.1152304175210593
Machinery,221,1.2422144630693726,0.13134497749866825,0.8697187260845158,0.3285913543565259,0.0657,0.15713517426576415,0.04938669,0.13028127391548416,0.12066734739541024,0.10962628978560329,1.1959330694665142,0.3065628202098959,3.9011027777200407,4.052071488052137,0.14979702058619807,1.1164944820550393,0.06642394080373672,0.3508562322673034,0.3285913543565259,0.0960676157017313,1.1175097940718703,1.23,1.01,1.09,1.1286885727076768,18812.77799999998,4479.3870000000015,4304.688999999998,0.9609995742721038,0.23810343161440625,0.24082798048466642,0.22881729641417137,0.232529820390282
Metals & Mining,117,1.2460840348628248,0.13163326059728045,0.8005295968372759,0.4436182357025413,0.0657,0.06515928702373269,0.04938669,0.19947040316272413,0.11522750400148946,0.10424004090787875,1.1402385105334458,0.22949411603860476,4.96848690596337,5.4296992723474125,0.249173052377813,1.0495076929861955,0.07957178845398147,0.4461186614197796,0.4436182357025413,0.5275671632458963,1.1602839500145723,1.05,0.98,1.16,1.0981044921096035,75558.30800000005,20040.792000000005,18603.433999999994,0.9282783834091981,0.2652361140749736,0.26458881895953407,0.24621295119525416,0.24684152257608455
Office Equipment & Services,26,0.9274536869867326,0.10789529968051158,0.6889167152108768,0.35686466826944635,0.0657,0.14278017549404526,0.04938669,0.31108328478912317,0.08969424919265334,0.0789583452597209,0.7308572038575613,0.2009629016309318,3.6367767280738206,4.615049242720432,0.4515542705244142,0.6924224265005527,0.05258862764729515,0.39465146308540106,0.35686466826944635,0.1721483351155078,0.7010110159114382,0.92,0.9,0.96,0.8423736439537999,456.60999999999996,107.01799999999999,48.46299999999999,0.452849053430264,0.23437506843914938,0.3109758772617026,0.10613652789032214,0.15186545415802302
Oil/Gas (Integrated),13,0.935281222410794,0.10847845106960416,0.6929339608540934,0.28134280308020104,0.0657,0.34742812772038645,0.04938669,0.3070660391459066,0.09033337805180454,0.07959117728282128,0.8347292886105938,0.23949869334236068,3.485318758784866,3.9051621090634514,0.44313896632721606,0.7015797147812403,0.1595122821807067,0.31082018604833733,0.28134280308020104,0.7911929178958427,1.1792616721883826,0.97,0.89,1.03,0.9807981921597954,236385.86,125660.95999999999,69058.78999999998,0.5495643993170193,0.5315925411105386,0.5316206530211357,0.29214433553682095,0.29215978484208194
Oil/Gas (Production and Exploration),102,0.9047156651271115,0.1062013170519698,0.6154784356342804,0.5255064988006657,0.0695,0.11352279455316365,0.05224315000000001,0.3845215643657196,0.08545323824683955,0.07475911767297916,0.7114392831643487,0.13208562460469914,5.3861976675623655,6.84946350395594,0.6247522936680169,0.6156093325563285,0.13469870567420242,0.4887827469791939,0.5255064988006657,0.8600136635915349,0.9242736108825114,0.91,0.76,1.11,0.8831425788093721,26034.160000000007,13776.867000000002,5076.895,0.36850867472263465,0.5291842333303628,0.5441147686457867,0.19500898050868548,0.20180975858808314
Oil/Gas Distribution,27,0.8313749050631767,0.10073743042720666,0.590749583891323,0.38828070602758563,0.0657,0.07286672718192276,0.04938669,0.40925041610867696,0.07972211853988367,0.06908446219958941,0.586312049480911,0.1733029350306293,3.3831628378208776,4.797234997296732,0.6927646286484131,0.5466870062131264,0.06758353900941735,0.5073912989256594,0.38828070602758563,0.46907055893828703,0.6694535893312088,0.74,0.55,0.51,0.6111531277624239,1226.33,88.72800000000001,98.21100000000001,1.1068771977278875,0.07235246630189265,0.19073634253588498,0.08008529514894035,0.10194673620136276
Oilfield Svcs/Equip.,66,1.1785707134708734,0.12660351815358006,0.7406230086307322,0.43618557212625697,0.0657,0.07701434664836217,0.04938669,0.25937699136926784,0.1065752495840267,0.09567303037630226,1.0547254159691497,0.19904253547289874,5.298995078932559,5.92120026340473,0.35021460087879996,0.9329624550679544,0.11544517564252652,0.43528774714179413,0.43618557212625697,0.36615857514072997,1.119789942634884,1.24,1.05,1.16,1.1249030717208068,20624.841999999997,3753.7450000000003,1674.6670000000004,0.4461323291805917,0.18200115181488424,0.22786000726049002,0.08119659777272478,0.09307182305212239
Packaging & Container,43,0.8597901284420164,0.10285436456893023,0.7080577579682403,0.28983655275081577,0.0657,0.16934354300265858,0.04938669,0.29194224203175967,0.08724489177905223,0.07653311944625374,0.694473971926442,0.2807816839245485,2.4733592384646452,3.06213039406466,0.4123141632816552,0.6563601299239993,0.054881598941305995,0.3445113194784669,0.28983655275081577,0.26689155040456236,0.6457104042110727,0.82,0.68,0.75,0.7180368752275029,6015.834,1430.1790000000003,1200.3789999999997,0.8393208122899297,0.237735781938132,0.237797776389956,0.19953658960669454,0.19974965957596216
Paper/Forest Products,37,0.8942991094880286,0.10542528365685813,0.7896976623666153,0.29121851492847195,0.0657,0.17071368990422148,0.04938669,0.21030233763338468,0.0936402364131335,0.08286545575881687,0.8111009695736112,0.2613790295131708,3.103160077854448,3.421464649071876,0.2663074080821482,0.7451354517203193,0.08132836764819729,0.3452906968837384,0.29121851492847195,0.1840544355045598,0.965866843459429,0.91,0.74,0.77,0.8393935626066081,9363.255,1798.7079999999996,1122.5140000000001,0.6240668301914487,0.1921028531210567,0.1953266890584453,0.1198850186179913,0.12212959589153548
Power,73,0.8185248579472559,0.09978010191707057,0.5437734647891077,0.2819042249869701,0.0657,0.15718935776827903,0.04938669,0.4562265352108923,0.07678929020069017,0.06618052872088032,0.5366516749209878,0.24232930681852477,2.2145553997019216,3.37773779281361,0.8390011001876143,0.5019539701569136,0.06465591441447158,0.37015710452582673,0.2819042249869701,0.1629795379412594,0.6431067204293442,0.57,0.58,0.59,0.5839516790700664,38623.719,9156.713000000002,9078.981999999998,0.9915110367661405,0.23707486583567994,,0.23506234601592868,
Precious Metals,54,1.1994208980579089,0.1281568569053142,0.7612321264012285,0.4377457993808886,0.0657,0.10506187329236158,0.04938669,0.2387678735987715,0.109349071650312,0.09841952414636812,1.1005716661082103,0.21378903114625925,5.147933269575826,5.610301387433439,0.31365974361534266,0.9705795617364594,0.11811325729602229,0.4803427088838324,0.4377457993808886,0.6079680339109197,0.9092482542911585,0.99,0.87,1.05,0.9839639840798737,2373.6650000000004,846.542,838.4910000000001,0.990489544523485,0.35663920561663076,0.3793542857888769,0.3532474043304341,0.3774210231842973
Publishing & Newspapers,77,0.8195268982695919,0.09985475392108459,0.6591220596049707,0.3058881274878973,0.0657,0.11218011765106241,0.04938669,0.3408779403950293,0.08265130423594058,0.07198478892327143,0.6318236910831166,0.1975525241731334,3.1982567356587737,4.148400035381807,0.517169673549276,0.5901156405374078,0.06601216626462675,0.3235947871047279,0.3058881274878973,0.23673978980886093,0.712740802949097,0.62,0.73,0.79,0.6969128988064427,2221.8309999999988,305.4909999999999,421.10600000000017,1.3784563211354846,0.13749515602221773,,0.18953106694433572,
R.E.I.T.,172,0.7206191276869031,0.09248612501267428,0.49715016476917906,0.22372235207636085,0.058,0.025107345182141666,0.0435986,0.5028498352308209,0.06790304111520838,0.05738182888747234,0.42587723144357803,0.2557983698766653,1.6648942354437881,2.8171372946369977,1.011464685854601,0.40936871968776267,0.03876354624514007,0.2849125352556071,0.22372235207636085,0.12127607913624198,0.35951725722988925,0.37,0.52,0.54,0.44307889773469344,30232.942999999985,1283.241,402.91399999999965,0.3139815513999316,0.04244512351973146,0.04134928329930142,0.01332698573208701,0.013453192696649355
Real Estate (Development),63,0.7973015798838343,0.09819896770134565,0.5655972457169782,0.28948363197236887,0.0657,0.11113464963722097,0.04938669,0.4344027542830218,0.07699477982505337,0.06638399381692484,0.5883162692025512,0.22326867639364345,2.6350148113266676,3.5710409214686143,0.7680425560282775,0.5054730105075816,0.140814155636494,0.3740714435820912,0.28948363197236887,0.5702527225698585,0.6181777934093912,0.54,0.56,0.57,0.5752988125223885,2016.5130000000004,344.47499999999997,228.616,0.6636649974599028,0.17082706632687214,0.16795378701883346,0.11337194453990625,0.11652945934828601
Real Estate (General/Diversified),51,0.8881104025148199,0.10496422498735408,0.367042690297562,0.2977206437061277,0.0657,0.1140507095387432,0.04938669,0.632957309702438,0.06978601796186532,0.059246254238102924,0.4084625964648788,0.22316499748450025,1.8303165866916395,3.979613346741363,1.7244787225957252,0.38675870595092504,0.05313556419068586,0.348011485678618,0.2977206437061277,0.4443572620693844,0.47865447505628284,0.44,0.48,0.49,0.4594234143042323,2174.9260000000004,338.902,145.813,0.4302512230674354,0.15582231303501817,0.1736054492284445,0.06704274076451334,0.07266684474602758
Real Estate (Operations & Services),241,0.7793573331606188,0.0968621213204661,0.4186018968812458,0.2643345339828698,0.0657,0.14450267797992586,0.04938669,0.5813981031187542,0.0692599956060024,0.05872541436850498,0.3960985816126213,0.24617422696937027,1.609017265897234,3.1658770406440184,1.3889046070990272,0.3812828947981193,0.03740403905054001,0.3052670232463542,0.2643345339828698,0.2833091826332726,0.3664082057853668,0.32,0.36,0.41,0.37050135747959756,39045.549999999974,9181.871999999988,1416.721,0.1542954421494878,0.2351579629432802,0.256424000219246,0.03628380186730629,0.04074116475213066
Recreation,62,1.023672850883806,0.11506362739084354,0.7461834266043312,0.3006893047431997,0.0657,0.14281203781210777,0.04938669,0.25381657339566877,0.09839373219117775,0.08757211906614137,0.8879422933554293,0.26272559339270096,3.3797327541980464,3.896357555671033,0.34015305666961265,0.8152253838498837,0.08189373346634594,0.32814483524806115,0.3006893047431997,0.5510904164685066,0.7532651624341167,0.67,0.82,0.98,0.8222414911579092,1430.9790000000005,310.90299999999996,225.6170000000001,0.7256829300457059,0.21726594170843866,0.2722719320562777,0.15766618517811934,0.22162356498257899
Reinsurance,4,1.0930161761976276,0.12022970512672325,0.8039087313961557,0.19027297576429894,0.058,0.09604683102326522,0.0435986,0.1960912686038443,0.10520301450790953,0.09431431485758535,1.041956862068099,0.40437594942854205,2.576703346330504,2.702970287284052,0.2439223023032611,0.9236576412204937,0.11353562239880297,0.24786158217653526,0.19027297576429894,0.3882914163736851,0.7570084481223966,0.94,1.42,1.45,1.1217930620380991,4997.8,946.6999999999999,513.2,0.5420935882539348,0.18942334627235982,0.21100612926780693,0.10268518147985115,0.11355740933330384
Restaurant/Dining,42,1.1557617501094046,0.12490425038315064,0.7056035883584963,0.34654179137881896,0.0657,0.12320345565568498,0.04938669,0.29439641164150365,0.10267215159043051,0.09180838655013068,0.9552393012029151,0.23547758828547533,4.056603892362167,4.908160298925119,0.4172263527264399,0.8798235321350116,0.07894960872415296,0.379155401499826,0.34654179137881896,0.556113905556614,0.5438505805214212,0.66,0.99,1.19,0.8678179763448671,3558.395,873.645,680.2430000000002,0.778626329916614,0.2455165882371125,0.2897592328512718,0.19116568003271142,0.21691588200930118
Retail (Automotive),24,1.112216192205297,0.12166010631929464,0.6937088366958494,0.35246991105511905,0.0657,0.1404985689659257,0.04938669,0.3062911633041506,0.0995233975588927,0.08869065472580018,0.9195628745210699,0.23699533368060427,3.8800885242759824,4.692987726518774,0.4415269737128076,0.8350624503634846,0.0918919483364258,0.3998776109011923,0.35246991105511905,0.13157330019877778,0.5383839172740335,0.43,0.79,1.06,0.7475893583590207,1564.1849999999997,218.01099999999997,256.84100000000007,1.1781102788391415,0.13937673612775983,0.2303344754781341,0.1642011654631646,0.2638827101195401
Retail (Building Supply),23,1.217523952927339,0.12950553449308674,0.577432582011713,0.2871914919559423,0.0657,0.20521862557976908,0.04938669,0.422567417988287,0.09564992124343799,0.08485534073857659,0.8577110654886608,0.3111782281877426,2.7563337913575996,3.9126257643988267,0.7318039043036113,0.7854501730927848,0.08424852529412943,0.33760021670820684,0.2871914919559423,0.23284067969196917,0.4599787803168425,0.54,0.82,0.87,0.7095379691611007,2411.54,470.54099999999994,547.6750000000002,1.1639262040927363,0.19512054537764248,0.19493186926196537,0.22710591572190392,0.22710591572190392
Retail (Distributors),115,1.0534539183951679,0.11728231692044,0.6319984097957525,0.297660920746442,0.0657,0.18835656662648015,0.04938669,0.3680015902042475,0.09229661824580376,0.08153507520889947,0.7608985854799213,0.27633296116926515,2.7535570938055414,3.812262981359957,0.582282462266285,0.7327346825111084,0.03701400358242098,0.31062505985515504,0.297660920746442,0.24847463595732402,0.5865929017568272,0.61,0.7,0.79,0.6894982974473496,13773.991999999993,3162.3460000000014,2917.8079999999995,0.9226719656862337,0.2295881978151289,0.24171532027744627,0.21183459377644484,0.23375588143422765
Retail (General),17,0.7400562944614318,0.09393419393737668,0.42246737359462916,0.32718591112153417,0.0657,0.14500606392309331,0.04938669,0.5775326264053708,0.06820655698861992,0.057682354456712215,0.3928101935354418,0.2374995438272598,1.6539408337606907,3.1160324880442545,1.3670466940235995,0.36498964765831515,0.07082439899721302,0.3538260699910758,0.32718591112153417,0.16190862937140207,0.3190565528189612,0.38,0.35,0.4,0.3683733492708806,4092.408,873.554,566,0.6479278899758916,0.21345721149992863,0.20139101863387238,0.13830488064728638,0.18006507793700144
Retail (Grocery and Food),31,0.8411267796117957,0.10146394508107878,0.5394567523096052,0.25860986834719973,0.0657,0.1644008863681963,0.04938669,0.4605432476903948,0.07748011689523765,0.06686454924109753,0.5531785871425986,0.25049782059886344,2.2083169658726702,3.3578207491024057,0.8537167172690787,0.5123389608204733,0.07382720024120842,0.39971099357807627,0.25860986834719973,0.2614965676346813,0.5087535733670212,0.44,0.39,0.42,0.462386432101924,9331.619999999999,2014.2500000000002,2332.6479999999992,1.158072731786024,0.21585212428281483,0.1974179402602749,0.24997245923001574,0.310953064996198
Retail (Online),93,1.5637506011615643,0.15529941978653655,0.7946195094145204,0.4415707787239164,0.0657,0.07805218274236786,0.04938669,0.20538049058547958,0.13354701138373035,0.12237906053265912,1.4672850705706748,0.28665052263577284,5.118724560760886,5.455251177575961,0.25846394173836096,1.309358763368104,0.10763164593581534,0.5561931480115268,0.4415707787239164,,1.3242882302241747,1.23,1.12,1.25,1.2783146601589699,8650.806,280.40900000000005,657.5299999999999,2.344896205185995,0.032414205104125564,,0.07600794654278455,
Retail (Special Lines),72,1.2974209197180433,0.13545785851899422,0.7766829875427368,0.35434390213501854,0.0657,0.145756332085366,0.04938669,0.2233170124572632,0.11623670230662679,0.10523929637257146,1.1652952867668969,0.28086794651157687,4.1489080588940235,4.619327110238854,0.2875265919803286,1.0668406589726418,0.08448899511763819,0.42484595059725266,0.35434390213501854,0.26081558891458495,0.8795242674958986,0.9,1.06,1.24,1.048963910852559,9195.228000000001,2127.0470000000005,1360.2160000000001,0.6394856343089738,0.23132074593473922,0.25597937653332775,0.1479262939429017,0.16568447211747797
Rubber& Tires,8,1.1209961651292606,0.12231421430212991,0.6594369761115062,0.25339347271569646,0.0657,0.13195259217541536,0.04938669,0.3405630238884938,0.09747779610109493,0.08666520697694624,0.8832579325121419,0.33464056918717755,2.639422753366467,3.349851357987153,0.516445143699232,0.8075108952432488,0.08575868325739812,0.39064128648666935,0.25339347271569646,0.1731669488134921,0.7546940548337088,0.93,0.87,0.9,0.8675903974691701,3268.62,884.41,969.119,1.0957802376725727,0.2705759617208486,0.29228312037659715,0.29649179164295636,0.3017257590475479
Semiconductor,42,1.5280609586716714,0.1526405414210395,0.8453394752674821,0.48182377826896394,0.0657,0.07078638890981398,0.04938669,0.1546605247325179,0.1366712465796081,0.12547251508621282,1.4469208038395083,0.2821065224935501,5.128987415994927,5.416609815204141,0.18295670468196262,1.3433165717702213,0.07160325001504277,0.47209630578014294,0.48182377826896394,0.7137338524322139,1.5555334931588858,1.81,1.16,1.27,1.4484908593996788,10590.645,1742.146,1319.3690000000001,0.7573240130276109,0.16449857397731676,0.17105473832368578,0.12457872018182085,0.12928249761545893
Semiconductor Equip,22,1.8132564831219464,0.173887607992585,0.9777835133134725,0.3705992270739122,0.0657,0.10174673177246395,0.04938669,0.022216486686527537,0.17112163500554228,0.1595834908182956,1.8277145326771278,0.41526728848419736,4.401296666897662,4.366480417325113,0.022721273558030476,1.782806887878376,0.024570382297597494,0.39425456866885644,0.3705992270739122,0.7304423680954127,2.070633496075609,2.08,1.37,1.5,1.7696696057505474,8110.037000000001,1191.7849999999999,1530.2220000000002,1.283974878019106,0.14695185730965218,0.15294182230547185,0.18868249306384174,0.19581122032578768
Shipbuilding & Marine,67,1.0629930459750019,0.11799298192513764,0.7011422268829623,0.367609176529566,0.0657,0.0569320773633099,0.04938669,0.29885777311703765,0.09748945829857361,0.08667675427592769,0.9748601338267289,0.2432389726777292,4.00782869247822,4.370159248219554,0.42624415084177264,0.8050490945201779,0.174190156530427,0.40240185014214,0.367609176529566,1.005399274507487,0.7727095294573015,0.9,0.83,0.93,0.881513932656806,60366.46799999999,2363.0219999999986,1943.9490000000005,0.8226537882423446,0.03914461253555532,0.03955598089380465,0.032202463791653355,0.03229715450948723
Shoe,10,1.0873701181302624,0.11980907380070455,0.8022610383717479,0.3212202080580394,0.0657,0.16309731977961744,0.04938669,0.1977389616282521,0.105883824752567,0.0949884176121476,0.9688359022843687,0.30575259803514143,3.1686922973358227,3.5563724564174803,0.24647708435346535,0.9173976035215595,0.05309289079969625,0.4108891764668788,0.3212202080580394,0.359612154278901,1.2630913303122508,1.67,1.01,1.11,1.204385446519324,841.187,193.75599999999997,90.169,0.465373975515597,0.2303364174672219,0.3574002616552291,0.10719257430274123,0.14195662064872233
Software (Entertainment),64,1.3312342768412895,0.13797695362467605,0.9042141104119287,0.4600855589037229,0.0657,0.0845840339153053,0.04938669,0.09578588958807133,0.1294912564145447,0.11836326374050987,1.2643925029484495,0.2507641000988485,5.042159154560162,5.308711559256414,0.10593275252521178,1.2330471627479185,0.024790830479804668,0.49439537704181424,0.4600855589037229,0.20168899633545928,1.028825085054541,1.28,1.05,1.01,1.126643517600598,1220.4750000000001,253.40300000000002,288.94300000000015,1.1402509046854226,0.20762653884757984,0.49935950224174214,0.23674634875765593,0.6294807611030508
Software (Internet),30,1.1583399200390785,0.12509632404291135,0.8176428230942185,0.3898795634317113,0.0657,0.08350459478001494,0.04938669,0.18235717690578146,0.1112901289142762,0.10034145769344605,1.0384541483190144,0.23782152248145977,4.366527206972913,4.870626964089766,0.22302791849341305,0.9920265785089173,0.044708348351490575,0.4006089526463052,0.3898795634317113,0.9297771169939129,0.7619329758129136,0.95,0.7,0.85,0.8600774248263855,66.496,26.127,29.219000000000005,1.1183450070807979,0.39291085178055823,,0.4394098893166507,
Software (System & Application),352,1.1424836636405142,0.1239150329412183,0.8998826718347332,0.39810514233824157,0.0657,0.0812376458805052,0.04938669,0.10011732816526675,0.11645345437335881,0.10545391295096129,1.1213890742291763,0.21860042239096975,5.129857764975207,5.226356157707541,0.1112559795835847,1.054310496172829,0.05981739932900275,0.4487239646425833,0.39810514233824157,0.14827309137206526,1.070307557473444,1.11,0.86,0.98,1.028339326340524,8522.914999999995,2447.697000000001,2883.884999999998,1.1782034295911612,0.28719012215890954,0.36410150293032933,0.3383683868723318,0.4359081406370704
Steel,57,1.133457181695149,0.1232425600362886,0.6944764915947281,0.3470949242716207,0.0657,0.16984612164730756,0.04938669,0.30552350840527187,0.10067785550647791,0.08983373870345845,1.079716890597993,0.2667753613521935,4.047288644368339,4.248732626394133,0.4399335500956949,0.8517763906169048,0.21111135888116478,0.3799255502807175,0.3470949242716207,1.1821374746241617,1.0251321916709792,1.0,1.04,1.12,1.0529698164537946,32896.61800000001,6004.2339999999995,5191.127,0.864577729648778,0.1825182758908529,0.18275673357052385,0.1578012365891229,0.15805718101577215
Telecom (Wireless),13,0.6704800986236815,0.08875076734746427,0.3525089827004595,0.21497290037388894,0.058,0.1700968719476738,0.0435986,0.6474910172995405,0.059515144578375534,0.049076571725386486,0.3031537052354213,0.23893191250493606,1.2687870031976514,2.806155492560376,1.836807142726739,0.28162819043856513,0.07100528354136401,0.33028592816179503,0.21497290037388894,0.5171967568327434,0.6238890626709207,0.47,0.43,0.48,0.4614085535812684,8157.9,2803.0899999999997,1902.7,0.6787866247605322,0.3436043589649297,0.3411311865022662,0.23323404307481094,0.23357590756645014
Telecom. Equipment,54,0.9551373262477205,0.10995773080545518,0.8215696934623443,0.3324215694375289,0.0657,0.08168451420358487,0.04938669,0.17843030653765568,0.09915002142723296,0.08832095717671828,0.9611502591339679,0.221452494321546,4.340209678281568,4.313057431003121,0.21718219155053806,0.8210896368717387,0.1457218795200961,0.3813855594157009,0.3324215694375289,0.4738624717900959,1.3546534944271236,1.3,0.98,1.06,1.1311607507122183,4814.912999999999,765.7529999999999,896.753,1.1710734401301728,0.15903776454527843,0.17055697844149892,0.18624490203665162,0.19337871760849937
Telecom. Services,68,0.8209877235007799,0.0999635854008081,0.44315481607393636,0.2697302269261846,0.0657,0.13152320205513285,0.04938669,0.5568451839260636,0.07180008477893583,0.061240478032345225,0.44422768381409694,0.2439868113081014,1.820703674237275,3.3648856636929194,1.2565477429746785,0.4222000031425342,0.049586465396382264,0.3105372177205998,0.2697302269261846,0.13453040417614054,0.5226741049233559,0.42,0.37,0.39,0.42938035774749056,35319.51500000002,5304.514000000003,5174.898999999999,0.9755651507376542,0.15018649038640536,0.3734192030673438,0.14651670613257278,0.17774972425928534
Tobacco,6,0.3921858382762334,0.06801784495157939,0.6605229198248037,0.1574966925895333,0.058,0.2568878892354541,0.0435986,0.3394770801751963,0.05972807097533432,0.049287400325330966,0.29390936570842574,0.24028790504733538,1.2231550549767674,1.6321497255510007,0.5139520067906784,0.2828934332716695,0.03748071249857577,0.1662484236916962,0.1574966925895333,0.23401533506085592,0.3259358674728991,0.4,0.33,0.37,0.34396904663626504,13660.100000000002,4021.7999999999993,3893.2,0.9680242677408127,0.29441951376637054,0.29441951376637054,0.285005234222297,0.285005234222297
